name,tag,symbol,id,currency,status
Bitcoin,bitcoin,BTC,1057391,USD,available
Ethereum,ethereum,ETH,1061443,USD,available
Binance Coin,binance-coin,BNB,1061448,USD,available
Tether,tether,USDT,1061453,USD,available
Cardano,cardano,ADA,1062537,USD,available
Polkadot,polkadot-new,DOT,1165465,USD,available
XRP,xrp,XRP,1057392,USD,available
Uniswap,uniswap,UNI,1167226,USD,available
Litecoin,litecoin,LTC,1061445,USD,available
Chainlink,chainlink,LINK,1061794,USD,available
THETA,theta,THETA,1062054,USD,available
USD Coin,usd-coin,USDC,1114630,USD,available
Bitcoin Cash,bitcoin-cash,BCH,1061410,USD,available
Stellar,stellar,XLM,1061451,USD,available
Terra,terra-luna,LUNA,1170319,USD,available
Wrapped Bitcoin,wrapped-bitcoin,WBTC,1167348,USD,available
Dogecoin,dogecoin,DOGE,1061477,USD,available
VeChain,vechain,VET,1061537,USD,available
Crypto.com Coin,crypto-com-coin,CRO,1117862,USD,available
Filecoin,filecoin,FIL,1061489,USD,available
Aave,aave,AAVE,1061509,USD,available
TRON,tron,TRX,1061450,USD,available
IOTA,iota,MIOTA,1061449,USD,available
Cosmos,cosmos,ATOM,1130959,USD,available
Solana,solana,SOL,1161528,USD,available
EOS,eos,EOS,1061444,USD,available
Avalanche,avalanche,AVAX,1168373,USD,available
Monero,monero,XMR,1061467,USD,available
Bitcoin SV,bitcoin-sv,BSV,1099037,USD,available
Kusama,kusama,KSM,1167220,USD,available
FTX Token,ftx-token,FTT,1156074,USD,available
Tezos,tezos,XTZ,1061796,USD,available
NEM,nem,XEM,1061476,USD,available
Binance USD,,BUSD,,,not available
BitTorrent,bittorrent,BTT,1138414,USD,available
Algorand,algorand,ALGO,1142181,USD,available
Neo,neo,NEO,1061409,USD,available
Chiliz,chiliz,CHZ,1152984,USD,available
Dai,multi-collateral-dai,DAI,1061777,USD,available
Content Value Network,,CVNT,,,not available
Huobi Token,huobi-token,HT,1094137,USD,available
Hedera Hashgraph,hedera-hashgraph,HBAR,1153127,USD,available
Elrond,elrond-egld,EGLD,1163305,USD,available
SushiSwap,sushiswap,SUSHI,1168117,USD,available
Synthetix,synthetix-network-token,SNX,1155630,USD,available
Dash,dash,DASH,1061456,USD,available
Theta Fuel,theta-fuel,TFUEL,1138421,USD,available
UNUS SED LEO,unus-sed-leo,LEO,1138417,USD,available
The Graph,the-graph,GRT,1168375,USD,available
Decred,decred,DCR,1066626,USD,available
Maker,maker,MKR,1061538,USD,available
Zilliqa,zilliqa,ZIL,1066743,USD,available
Compound,compound,COMP,1165344,USD,available
Polygon,polygon,MATIC,1138411,USD,available
NEAR Protocol,near-protocol,NEAR,1170217,USD,available
Enjin Coin,enjin-coin,ENJ,1061824,USD,available
Ravencoin,ravencoin,RVN,1094142,USD,available
Basic Attention Token,basic-attention-token,BAT,1061774,USD,available
Pundi X,pundi-x,NPXS,1094135,USD,available
Zcash,zcash,ZEC,1061465,USD,available
PancakeSwap,pancakeswap,CAKE,1170085,USD,available
ECOMI,,OMI,,,not available
Harmony,harmony,ONE,1137531,USD,available
Huobi BTC,,HBTC,,,not available
Decentraland,decentraland,MANA,1061831,USD,available
Nexo,nexo,NEXO,1094146,USD,available
Stacks,,STX,,,not available
UMA,uma,UMA,1167228,USD,available
Ethereum Classic,ethereum-classic,ETC,1057275,USD,available
Bitcoin BEP2,,BTCB,,,not available
TerraUSD,,UST,,,not available
Bancor,bancor,BNT,1061523,USD,available
SwissBorg,swissborg,CHSB,1156714,USD,available
THORChain,thorchain,RUNE,1165352,USD,available
yearn.finance,yearn-finance,YFI,1167224,USD,available
Holo,holo,HOT,1081646,USD,available
Reserve Rights,reserve-rights,RSR,1169559,USD,available
ICON,icon,ICX,1061807,USD,available
Celsius,celsius,CEL,1089375,USD,available
0x,0x,ZRX,1061803,USD,available
Waves,waves,WAVES,1061519,USD,available
Fantom,fantom,FTM,1155566,USD,available
Ren,ren,REN,1094111,USD,available
Siacoin,siacoin,SC,1066618,USD,available
Revain,revain,REV,1066651,USD,available
Voyager Token,voyager-token,VGX,1061884,USD,available
Ontology,ontology,ONT,1075377,USD,available
DigiByte,digibyte,DGB,1061782,USD,available
Dent,dent,DENT,1066652,USD,available
Flow,,FLOW,,,not available
OKB,okb,OKB,1167222,USD,available
IOST,iostoken,IOST,1062033,USD,available
OMG Network,omg,OMG,1061446,USD,available
The Transfer Token,,TTT,,,not available
Paxos Standard,paxos-standard,PAX,1115718,USD,available
Celo,celo,CELO,1169555,USD,available
renBTC,,RENBTC,,,not available
Arweave,,AR,,,not available
1inch,1inch,1INCH,1169557,USD,available
Nano,nano,NANO,1066647,USD,available
Nano,nano,NANO,1066647,USD,available
Qtum,qtum,QTUM,1061464,USD,available
Loopring,loopring,LRC,1061482,USD,available
Helium,,HNT,,,unavailable
Ocean Protocol,ocean-protocol,OCEAN,1167218,USD,available
Curve DAO Token,curve-dao-token,CRV,1169561,USD,available
Conflux Network,,CFX,,,unavailable
VeThor Token,,VTHO,,,unavailable
Kyber Network,kyber-network,KNC,1061801,USD,available
Horizen,horizen,ZEN,1066643,USD,available
MVL,mvl,MVL,1089406,USD,available
Nervos Network,,CKB,,,unavailable
HUSD,,HUSD,,,unavailable
Orion Protocol,,ORN,,,unavailable
Bitcoin Gold,bitcoin-gold,BTG,1061452,USD,available
Lisk,lisk,LSK,1061838,USD,available
Verge,verge,XVG,1061531,USD,available
Fetch.ai,fetch,FET,1142591,USD,available
Orbit Chain,,ORC,,,unavailable
ZKSwap,,ZKS,,,unavailable
Energy Web Token,energy-web-token,EWT,1171233,USD,available
Quant,quant,QNT,1117861,USD,available
Ankr,ankr,ANKR,1165346,USD,available
Linear,,LINA,,,unavailable
Golem,golem-network-tokens,GLM,1061521,USD,available
Klever,,KLV,,,unavailable
Livepeer,,LPT,,,unavailable
SKALE Network,,SKL,,,unavailable
Bitpanda Ecosystem Token,bitpanda-ecosystem-token,BEST,1159468,USD,available
Electroneum,electroneum,ETN,1061490,USD,available
Alpha Finance Lab,,ALPHA,,,unavailable
Orbs,,ORBS,,,unavailable
Celer Network,celer-network,CELR,1141870,USD,available
StormX,stormx,STMX,1064946,USD,available
Augur,augur,REP,1061481,USD,available
Mixin,mixin,XIN,1071795,USD,available
Reef,,REEF,,,unavailable
NXM,,NXM,,,unavailable
IoTeX,iotex,IOTX,1081594,USD,available
KuCoin Token,,KCS,,,unavailable
Venus,venus,XVS,1170468,USD,available
FunFair,funfair,FUN,1061783,USD,available
Status,status,SNT,1061495,USD,available
The Sandbox,,SAND,,,unavailable
SafePal,,SFP,,,unavailable
Balancer,,BAL,,,unavailable
DODO,,DODO,,,unavailable
RedFOX Labs,,RFOX,,,unavailable
WAX,wax,WAXP,1066698,USD,available
Mirror Protocol,,MIR,,,unavailable
Telcoin,telcoin,TEL,1066749,USD,available
Kin,kin,KIN,1066655,USD,available
Keep Network,,KEEP,,,unavailable
COTI,coti,COTI,1159453,USD,available
Stacks,blockstack,STX,1159393,USD,available
Badger DAO,,BADGER,,,unavailable
Kava.io,kava,KAVA,1163451,USD,available
Polymath,polymath-network,POLY,1062867,USD,available
Swipe,swipe,SXP,1153119,USD,available
MaidSafeCoin,maidsafecoin,MAID,1061775,USD,available
Anchor Protocol,,ANC,,,unavailable
MATH,,MATH,,,unavailable
stETH (Lido),,STETH,,,unavailable
SuperFarm,,SUPER,,,unavailable
Civic,civic,CVC,1061792,USD,available
GNY,,GNY,,,unavailable
Everipedia,,IQ,,,unavailable
TrueUSD,trueusd,TUSD,1094123,USD,available
Band Protocol,band-protocol,BAND,1162249,USD,available
Ardor,ardor,ARDR,1066631,USD,available
Steem,steem,STEEM,1066620,USD,available
Orchid,orchid,OXT,1165457,USD,available
Aragon,aragon,ANT,1061805,USD,available
Oasis Network,,ROSE,,,unavailable
Hathor,,HTR,,,unavailable
QuarkChain,quarkchain,QKC,1094200,USD,available
Metadium,,META,,,unavailable
Amp,,AMP,,,unavailable
BORA,,BORA,,,unavailable
OriginTrail,origintrail,TRAC,1094112,USD,available
Utrust,utrust,UTK,1066740,USD,available
Serum,serum,SRM,1165355,USD,available
NuCypher,,NU,,,unavailable
TrustSwap,,SWAP,,,unavailable
MediBloc,medibloc,MED,1057909,USD,available
Hifi Finance,mainframe,MFT,1094108,USD,available
Storj,storj,STORJ,1061814,USD,available
Polkastarter,,POLS,,,unavailable
Origin Protocol,origin-protocol,OGN,1159451,USD,available
BitShares,bitshares,BTS,1066619,USD,available
Numeraire,numeraire,NMR,1071193,USD,available
Travala.com,,AVA,,,unavailable
Komodo,komodo,KMD,1066628,USD,available
Bitcoin Diamond,bitcoin-diamond,BCD,1061454,USD,available
Venus BTC,,vBTC,,,unavailable
Velas,,VLX,,,unavailable
Ampleforth,ampleforth,AMPL,1165462,USD,available
Edgeware,,EDG,,,unavailable
BetterBetting,,BETR,,,unavailable
MyNeighborAlice,,ALICE,,,unavailable
RSK Infrastructure Framework,,RIF,,,unavailable
Bitcoin Standard Hashrate Token,,BTCST,,,unavailable
Audius,,AUDIO,,,unavailable
TROY,,TROY,,,unavailable
Eauric,,EAURIC,,,unavailable
SingularityNET,singularitynet,AGI,1062540,USD,available
Carry,,CRE,,,unavailable
Gnosis,gnosis-gno,GNO,1061779,USD,available
Akash Network,,AKT,,,unavailable
JUST,,JST,,,unavailable
Bitcoin Standard Hashrate Token,,BTCST,,,unavailable
Stratis,stratis,STRAX,1061480,USD,available
Injective Protocol,,INJ,,,unavailable
Ark,ark,ARK,1066624,USD,available
TomoChain,tomochain,TOMO,1094109,USD,available
Spendcoin,,SPND,,,unavailable
IRISnet,irisnet,IRIS,1165358,USD,available
PAC Global,pac-global,PAC,1167217,USD,available
Wanchain,wanchain,WAN,1094148,USD,available
dKargo,,DKA,,,unavailable
KardiaChain,,KAI,,,unavailable
ABBC Coin,abbc-coin,ABBC,1123468,USD,available
Venus XVS,,vXVS,,,unavailable
Raydium,,RAY,,,unavailable
district0x,district0x,DNT,1061802,USD,available
aelf,aelf,ELF,1061493,USD,available
Secret,,SCRT,,,unavailable
Wootrade,,WOO,,,unavailable
Syscoin,syscoin,SYS,1062226,USD,available
Hive,,HIVE,,,unavailable
ShareToken,,SHR,,,unavailable
Axie Infinity,,AXS,,,unavailable
ZB Token,zb-token,ZB,1153122,USD,available
CyberVein,cybervein,CVT,1075363,USD,available
Litentry,,LIT,,,unavailable
iExec RLC,rlc,RLC,1061829,USD,available
Perpetual Protocol,,PERP,,,unavailable
BakeryToken,,BAKE,,,unavailable
Neutrino USD,,USDN,,,unavailable
Akropolis,,AKRO,,,unavailable
Thunder Token,,TT,,,unavailable
Terra Virtua Kolect,,TVK,,,unavailable
DerivaDAO,,DDX,,,unavailable
Hifi Finance,,MFT,,,unavailable
Elitium,,EUM,,,unavailable
Loom Network,loom-network,LOOM,1076799,USD,available
Sora,,XOR,,,unavailable
Ultra,,UOS,,,unavailable
Haven Protocol,haven-protocol,XHV,1079296,USD,available
Power Ledger,power-ledger,POWR,1066644,USD,available
Chromia,,CHR,,,unavailable
Ethernity Chain,,ERN,,,unavailable
Enzyme,,MLN,,,unavailable
Dego Finance,,DEGO,,,unavailable
Unibright,unibright,UBT,1089397,USD,available
Gala,,GALA,,,unavailable
Hellenic Coin,helleniccoin,HNC,1061876,USD,available
Shopping,,SPI,,,unavailable
Populous,populous,PPT,1066630,USD,available
SparkPoint,,SRK,,,unavailable
LTO Network,,LTO,,,unavailable
MimbleWimbleCoin,,MWC,,,unavailable
Syntropy,,NOIA,,,unavailable
Oxygen,,OXY,,,unavailable
PARSIQ,,PRQ,,,unavailable
Trust Wallet Token,,TWT,,,unavailable
Tokenlon Network Token,,LON,,,unavailable
SUN,,SUN,,,unavailable
CoinMetro Token,,XCM,,,unavailable
GateToken,,GT,,,unavailable
Vai,,VAI,,,unavailable
Rocket Pool,,RPL,,,unavailable
Bytom,bytom,BTM,1061455,USD,available
NewYork Exchange,,NYE,,,unavailable
12Ships,,TSHP,,,unavailable
MANTRA DAO,,OM,,,unavailable
Phala Network,,PHA,,,unavailable
sUSD,,SUSD,,,unavailable
AdEx Network,adx-net,ADX,1061473,USD,available
Divi,divi,DIVI,1071294,USD,available
Centrality,centrality,CENNZ,1094126,USD,available
Request,request,REQ,1061806,USD,available
Harvest Finance,,FARM,,,unavailable
MovieBloc,,MBL,,,unavailable
Uquid Coin,,UQC,,,unavailable
Bloomzed Loyalty Club Ticket,,BLCT,,,unavailable
EFFORCE,efforce,WOZX,1168122,USD,available
Radix,,EXRD,,,unavailable
DAO Maker,,DAO,,,unavailable
Sapphire,,SAPP,,,unavailable
RAMP,,RAMP,,,unavailable
Rari Governance Token,,RGT,,,unavailable
ReddCoin,redd,RDD,1062541,USD,available
Dusk Network,,DUSK,,,unavailable
Aion,aion,AION,1062228,USD,available
WHALE,,WHALE,,,unavailable
KARMA,,KARMA,,,unavailable
Gas,gas,GAS,1061780,USD,available
Elastos,elastos,ELA,1094122,USD,available
Handshake,,HNS,,,unavailable
Mask Network,,MASK,,,unavailable
LBRY Credits,library-credit,LBC,1066762,USD,available
saffron.finance,,SFI,,,unavailable
Energi,energi,NRG,1123392,USD,available
Streamr,streamr,DATA,1061487,USD,available
GreenPower,,GRN,,,unavailable
WINk,,WIN,,,unavailable
MonaCoin,monacoin,MONA,1066645,USD,available
WazirX,wazirx,WRX,1156834,USD,available
KLAYswap Protocol,,KSP,,,unavailable
SUKU,,SUKU,,,unavailable
Chimpion,,BNANA,,,unavailable
BioPassport Token,,BIOT,,,unavailable
Gemini Dollar,gemini-dollar,GUSD,1117721,USD,available
Metal,metal,MTL,1061893,USD,available
Atari Token,,ATRI,,,unavailable
Refereum,refereum,RFR,1094077,USD,available
HARD Protocol,,HARD,,,unavailable
Selfkey,selfkey,KEY,1066732,USD,available
SOLVE,solve,SOLVE,1135944,USD,available
Attila,,ATT,,,unavailable
PIBBLE,,PIB,,,unavailable
Lambda,,LAMB,,,unavailable
Ignis,ignis,IGNIS,1065171,USD,available
MiL.k,,MLK,,,unavailable
Ferrum Network,,FRM,,,unavailable
REVV,,REVV,,,unavailable
Hegic,,HEGIC,,,unavailable
Frax,,FRAX,,,unavailable
Zenon,zenon,ZNN,1142186,USD,available
inSure DeFi,,SURE,,,unavailable
Contentos,,COS,,,unavailable
Nimiq,nimiq,NIM,1089741,USD,available
Bella Protocol,,BEL,,,unavailable
yOUcash,,YOUC,,,unavailable
PAX Gold,,PAXG,,,unavailable
Waltonchain,waltonchain,WTC,1061486,USD,available
NKN,nkn,NKN,1093936,USD,available
Morpheus.Network,,MRPH,,,unavailable
Mobilian Coin,,MBN,,,unavailable
Decentral Games,,DG,,,unavailable
AMO Coin,,AMO,,,unavailable
ChainX,,PCX,,,unavailable
DREP,drep,DREP,1162990,USD,available
XeniosCoin,,XNC,,,unavailable
Beam,beam,BEAM,1142597,USD,available
DIA,,DIA,,,unavailable
Render Token,,RNDR,,,unavailable
CertiK,,CTK,,,unavailable
Bytecoin,bytecoin-bcn,BCN,1036970,USD,available
NFTX,,NFTX,,,unavailable
Bluzelle,bluzelle,BLZ,1065485,USD,available
Massnet,,MASS,,,unavailable
Cartesi,cartesi,CTSI,1163308,USD,available
bZx Protocol,,BZRX,,,unavailable
Venus USDC,,vUSDC,,,unavailable
BarnBridge,,BOND,,,unavailable
Sentinel Protocol,sentinel-protocol,UPP,1089398,USD,available
Standard Tokenization Protocol,,STPT,,,unavailable
Unifi Protocol DAO,,UNFI,,,unavailable
Everest,,ID,,,unavailable
Nexus,nexus,NXS,1062549,USD,available
KuCoin Shares,kucoin-shares,KCS,1058295,USD,available
Huobi Pool Token,,HPT,,,unavailable
DFI.Money,,YFII,,,unavailable
Frontier,,FRONT,,,unavailable
Firo,firo,FIRO,1066642,USD,available
Darwinia Network,,RING,,,unavailable
ARPA Chain,arpa-chain,ARPA,1163458,USD,available
Vesper,,VSP,,,unavailable
Big Data Protocol,,BDP,,,unavailable
AllianceBlock,,ALBT,,,unavailable
Crust,,CRU,,,unavailable
xDai,,STAKE,,,unavailable
AirSwap,airswap,AST,1061491,USD,available
Endor Protocol,endor-protocol,EDR,1089475,USD,available
Oxen,,OXEN,,,unavailable
LCX,,LCX,,,unavailable
NULS,nuls,NULS,1061520,USD,available
DxChain Token,,DX,,,unavailable
VideoCoin,,VID,,,unavailable
Function X,function-x,FX,1156567,USD,available
API3,,API3,,,unavailable
NEST Protocol,,NEST,,,unavailable
PIXEL,,PXL,,,unavailable
WaykiChain,waykichain,WICC,1093970,USD,available
PIVX,pivx,PIVX,1066627,USD,available
DuckDaoDime,,DDIM,,,unavailable
RChain,rchain,REV,1066654,USD,available
BOSAGORA,,BOA,,,unavailable
Constellation,constellation,DAG,1088163,USD,available
Observer,,OBSR,,,unavailable
Burger Swap,,BURGER,,,unavailable
Cream Finance,,CREAM,,,unavailable
Moss Coin,,MOC,,,unavailable
Aergo,,AERGO,,,unavailable
YIELD App,,YLD,,,unavailable
Newscrypto,,NWC,,,unavailable
Frax Share,,FXS,,,unavailable
Flamingo,,FLM,,,unavailable
Switcheo,switcheo,SWTH,1077100,USD,available
Phoenix Global,phoenix-global,PHB,1066665,USD,available
Marlin,,POND,,,unavailable
Dragonchain,dragonchain,DRGN,1061772,USD,available
AXEL,,AXEL,,,unavailable
JustLiquidity,,JUL,,,unavailable
DeXe,,DEXE,,,unavailable
Prometeus,,PROM,,,unavailable
Spartan Protocol,,SPARTA,,,unavailable
Beldex,,BDX,,,unavailable
Bridge Mutual,,BMI,,,unavailable
MXC,,MXC,,,unavailable
Bounce Token,,AUCTION,,,unavailable
pNetwork,pnetwork,PNT,1057124,USD,available
Nash,,NEX,,,unavailable
Meme,,MEME,,,unavailable
