name,tag,symbol,id,currency,status
Fusion,fusion,FSN,1071158,USD,available
Venus ETH,,vETH,,,unavailable
Hxro,,HXRO,,,unavailable
Tellor,,TRB,,,unavailable
Groestlcoin,groestlcoin,GRS,1061865,USD,available
Perlin,,PERL,,,unavailable
Sentinel,,SENT,,,unavailable
NativeCoin,,N8V,,,unavailable
Qcash,,QC,,,unavailable
Quantstamp,quantstamp,QSP,1061789,USD,available
MAPS,,MAPS,,,unavailable
Cindicator,cindicator,CND,1061522,USD,available
MX Token,,MX,,,unavailable
Aavegotchi,,GHST,,,unavailable
FIO Protocol,fio-protocol,FIO,1165349,USD,available
Cortex,cortex,CTXC,1089267,USD,available
LUKSO,,LYXe,,,unavailable
Ripio Credit Network,ripio-credit-network,RCN,1061810,USD,available
Cocos-BCX,cocos-bcx,COCOS,1152979,USD,available
Swingby,,SWINGBY,,,unavailable
Kylin,,KYL,,,unavailable
Radicle,,RAD,,,unavailable
IDEX,,IDEX,,,unavailable
Sport and Leisure,sport-and-leisure,SNL,1142339,USD,available
Measurable Data Token,measurable-data-token,MDT,1066728,USD,available
BSCPAD,,BSCPAD,,,unavailable
The Midas Touch Gold,,TMTG,,,unavailable
Einsteinium,einsteinium,EMC2,1066646,USD,available
v.systems,v-systems,VSYS,1141873,USD,available
FC Barcelona Fan Token,,BAR,,,unavailable
Aeternity,aeternity,AE,1061499,USD,available
DEXTools,,DEXT,,,unavailable
Humanscape,,HUM,,,unavailable
Proton,,XPR,,,unavailable
DigitalBits,,XDB,,,unavailable
Ergo,,ERG,,,unavailable
Kadena,,KDA,,,unavailable
GET Protocol,,GET,,,unavailable
GameCredits,gamecredits,GAME,1064944,USD,available
Maro,,MARO,,,unavailable
VIDT Datalink,,VIDT,,,unavailable
Nexalt,,XLT,,,unavailable
Aurora,aurora,AOA,1094124,USD,available
Wing,,WING,,,unavailable
Zap,zap,ZAP,1071970,USD,available
GXChain,gxchain,GXC,1066648,USD,available
TitanSwap,,TITAN,,,unavailable
VITE,vite,VITE,1094113,USD,available
Empty Set Dollar,,ESD,,,unavailable
Enzyme Finance,melon,MLN,1061524,USD,available
Alpha Quark Token,,AQT,,,unavailable
TrueFi,,TRU,,,unavailable
Verasity,,VRA,,,unavailable
Pirate Chain,,ARRR,,,unavailable
Finxflo,,FXF,,,unavailable
Auto,,AUTO,,,unavailable
LockTrip,lockchain,LOC,1071734,USD,available
Lympo,lympo,LYM,1094058,USD,available
STASIS EURO,stasis-euro,EURS,1094188,USD,available
PowerPool,,CVP,,,unavailable
Dock,dock,DOCK,1116262,USD,available
Duck DAO (DLP Duck Token),,DUCK,,,unavailable
Tornado Cash,,TORN,,,unavailable
Kleros,kleros,PNK,1089388,USD,available
Nebulas,nebulas-token,NAS,1061471,USD,available
GoChain,gochain,GO,1116168,USD,available
Bondly,,BONDLY,,,unavailable
BoringDAO,,BOR,,,unavailable
Stakenet,,XSN,,,unavailable
Venus BUSD,,vBUSD,,,unavailable
Anyswap,,ANY,,,unavailable
MCO,crypto-com,MCO,1061781,USD,available
Quiztok,,QTCON,,,unavailable
Navcoin,nav-coin,NAV,1061834,USD,available
TEMCO,,TEMCO,,,unavailable
AGA Token,,AGA,,,unavailable
Keep3rV1,,KP3R,,,unavailable
Propy,propy,PRO,1077039,USD,available
DIGG,,DIGG,,,unavailable
Skycoin,skycoin,SKY,1061798,USD,available
CasinoCoin,casinocoin,CSC,1094197,USD,available
Dentacoin,dentacoin,DCN,1056750,USD,available
HyperCash,hypercash,HC,1066622,USD,available
Rewardiqa,,REW,,,unavailable
Minter Network,,BIP,,,unavailable
Pundi X NEM,,NPXSXEM,,,unavailable
ICHI,,ICHI,,,unavailable
BTU Protocol,btu-protocol,BTU,1141245,USD,available
Morpheus Labs,,MITX,,,unavailable
DMarket,dmarket,DMT,1093950,USD,available
ankrETH,,aEth,,,unavailable
dHedge DAO,,DHT,,,unavailable
Mithril,mithril,MITH,1094136,USD,available
Nxt,nxt,NXT,1061459,USD,available
Hacken Token,,HAI,,,unavailable
Stafi,,FIS,,,unavailable
Phantasma,phantasma,SOUL,1129451,USD,available
cVault.finance,,CORE,,,unavailable
Dawn Protocol,,DAWN,,,unavailable
HUNT,,HUNT,,,unavailable
Molecular Future,,MOF,,,unavailable
Bifrost (BFC),,BFC,,,unavailable
LATOKEN,latoken,LA,1071254,USD,available
DSLA Protocol,,DSLA,,,unavailable
USDX [Kava],,USDX,,,unavailable
Bonfida,,FIDA,,,unavailable
BitZ Token,,BZ,,,unavailable
BASIC,,BASIC,,,unavailable
88mph,,MPH,,,unavailable
Galatasaray Fan Token,,GAL,,,unavailable
0Chain,0chain,ZCN,1088157,USD,available
BEPRO Network,,BEPRO,,,unavailable
Shroom.Finance,,SHROOM,,,unavailable
FirmaChain,,FCT,,,unavailable
MixMarvel,,MIX,,,unavailable
Steem Dollars,steem-dollars,SBD,1094203,USD,available
ONOToken,,ONOT,,,unavailable
JulSwap,,JULD,,,unavailable
Wirex Token,wirex-token,WXT,1141722,USD,available
VerusCoin,,VRSC,,,unavailable
Flexacoin,flexacoin,FXC,1135966,USD,available
OctoFi,,OCTO,,,unavailable
COVER Protocol,,COVER,,,unavailable
BitKan,,KAN,,,unavailable
Sentivate,sentivate,SNTVT,1165466,USD,available
DAD,,DAD,,,unavailable
Robonomics.network,,XRT,,,unavailable
dForce,,DF,,,unavailable
All Sports,all-sports,SOC,1094133,USD,available
Muse,,MUSE,,,unavailable
Freeway Token,,FWT,,,unavailable
mStable USD,,MUSD,,,unavailable
Smartlands Network,,SLT,,,unavailable
Neblio,neblio,NEBL,1062878,USD,available
Multiplier,,MXX,,,unavailable
Apollo Currency,apollo-currency,APL,1097747,USD,available
Celo Dollar,,CUSD,,,unavailable
Polkamarkets,,POLK,,,unavailable
PEAKDEFI,,PEAK,,,unavailable
EasyFi,,EASY,,,unavailable
Helmet.insure,,HELMET,,,unavailable
Crypterium,crpt,CRPT,1094144,USD,available
UniLend,,UFT,,,unavailable
Grin,grin,GRIN,1142594,USD,available
RioDeFi,,RFUEL,,,unavailable
Project Pai,project-pai,PAI,1123471,USD,available
Meta,,MTA,,,unavailable
Presearch,presearch,PRE,1071201,USD,available
Bounce Token (OLD),,BOT,,,unavailable
suterusu,,SUTER,,,unavailable
Super Zero Protocol,,SERO,,,unavailable
Oraichain Token,,ORAI,,,unavailable
Vertcoin,vertcoin,VTC,1066639,USD,available
Wabi,wabi,WABI,1066659,USD,available
Effect.AI,,EFX,,,unavailable
Veritaseum,veritaseum,VERI,1061823,USD,available
Nucleus Vision,nucleus-vision,NCASH,1072240,USD,available
Telos,,TLOS,,,unavailable
Ambrosus,amber,AMB,1066669,USD,available
TenX,tenx,PAY,1061784,USD,available
Raiden Network Token,raiden-network-token,RDN,1061525,USD,available
TokenClub,tokenclub,TCT,1094186,USD,available
BnkToTheFuture,bnktothefuture,BFT,1093979,USD,available
LABS Group,,LABS,,,unavailable
Razor Network,,RAZOR,,,unavailable
DragonVein,,DVC,,,unavailable
OptionRoom,,ROOM,,,unavailable
Whiteheart,,WHITE,,,unavailable
Anchor Neural World,,ANW,,,unavailable
Crowns,,CWS,,,unavailable
UniLayer,,LAYER,,,unavailable
SakeToken,,SAKE,,,unavailable
Bankera,bankera,BNK,1081631,USD,available
RSK Smart Bitcoin,,RBTC,,,unavailable
Darma Cash,,DMCH,,,unavailable
DigixDAO,digixdao,DGD,1061791,USD,available
Dovu,dovu,DOV,1072134,USD,available
Goose Finance,,EGG,,,unavailable
#MetaHash,metahash,MHC,1141877,USD,available
Lattice Token,,LTX,,,unavailable
RING X PLATFORM,,RINGX,,,unavailable
TE-FOOD,te-food,TONE,1089394,USD,available
APY.Finance,,APY,,,unavailable
Gifto,gifto,GTO,1066592,USD,available
PCHAIN,pchain,PI,1094110,USD,available
Circuits of Value,circuits-of-value,COVAL,1071234,USD,available
1irstcoin,,FST,,,unavailable
Aidos Kuneen,,ADK,,,unavailable
Credits,credits,CS,1072425,USD,available
Mirrored Tesla,,mTSLA,,,unavailable
AppCoins,appcoins,APPC,1066541,USD,available
Ultiledger,,ULT,,,unavailable
Bread,bread,BRD,1066594,USD,available
Decentr,,DEC,,,unavailable
QASH,qash,QASH,1061470,USD,available
Public Mint,,MINT,,,unavailable
Metronome,metronome,MET,1094107,USD,available
Chain Guardians,,CGG,,,unavailable
ZeroSwap,,ZEE,,,unavailable
WOM Protocol,,WOM,,,unavailable
BUX Token,,BUX,,,unavailable
ForTube,,FOR,,,unavailable
AnRKey X,,$ANRX,,,unavailable
Neutrino Token,,NSBT,,,unavailable
Aleph.im,,ALEPH,,,unavailable
Etherisc DIP Token,,DIP,,,unavailable
Safe Haven,,SHA,,,unavailable
Venus USDT,,vUSDT,,,unavailable
Genesis Vision,genesis-vision,GVT,1065481,USD,available
UniMex Network,,UMX,,,unavailable
Davinci Coin,,DAC,,,unavailable
Tixl,,TXL,,,unavailable
Venus SXP,,vSXP,,,unavailable
OAX,oax,OAX,1070432,USD,available
DeepBrain Chain,deepbrain-chain,DBC,1066723,USD,available
MEET.ONE,,MEETONE,,,unavailable
LGCY Network,,LGCY,,,unavailable
Unisocks,,SOCKS,,,unavailable
Loki,loki,LOKI,1152980,USD,available
High Performance Blockchain,high-performance-blockchain,HPB,1065172,USD,available
BABB,babb,BAX,1094106,USD,available
Dero,dero,DERO,1096010,USD,available
CUTcoin,,CUT,,,unavailable
ASTA,,ASTA,,,unavailable
Gameswap,,GSWAP,,,unavailable
Hashgard,,GARD,,,unavailable
FOAM,,FOAM,,,unavailable
Invictus Hyperion Fund,,IHF,,,unavailable
Bao Finance,,BAO,,,unavailable
USDK,,USDK,,,unavailable
POA,poa,POA,1072122,USD,available
TOP,,TOP,,,unavailable
Decentralized Vulnerability Platform,,DVP,,,unavailable
Permission Coin,,ASK,,,unavailable
StableXSwap,,STAX,,,unavailable
SIRIN LABS Token,sirin-labs-token,SRN,1066706,USD,available
Tixl [old],,MTXLT,,,unavailable
Digitex Futures,digitex-futures,DGTX,1095126,USD,available
