country,name,full_name,symbol,tag,id,issuer,isin,asset_class,underlying
france,BNP Gold 31Dec99,BNP Paribas Arbitrage Issuance BV ZT Gold 31Dec99,NL0006454928,bnp-gold-31dec99,1117224,,,,
france,SG ZT SILVER X5 SHO 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 SHO 31Dec99,FR0011815075,sg-zt-silver-x5-sho-31dec99,1117389,,,,
france,SG BERKSHIRE HATHA ORD CL A 31Dec99,Societe Generale Effekten GMBH ZT BERKSHIRE HATHA ORD CL A 31Dec99,FR0010681528,sg-berkshire-hatha-ord-cl-a-31dec99,1117390,,,,
france,SG Call 23.4 EUR FAURECIA 31Dec99,SG ISSUER Call 23.4 EUR FAURECIA 31Dec99,LU1248646314,sg-call-23.4-eur-faurecia-31dec99,1117363,,,,
france,SG Call 13 EUR ORANGE 31Dec99,SG ISSUER Call 13 EUR ORANGE 31Dec99,LU1428373747,sg-call-13-eur-orange-31dec99,1117360,,,,
france,SG Call 150.8 EUR LOREAL 31Dec99,SG ISSUER Call 150.8 EUR L`OREAL 31Dec99,LU1358280920,sg-call-150.8-eur-loreal-31dec99,1117361,,,,
france,ING Call 53.48 IPE BRENT 1217,ING BANK N.V. Call 53.48 EUR IPE BRENT 12/17 31Dec99,NL0012080717,ing-call-53.48-ipe-brent-1217,1117345,,,,
france,ING Call 24.8 EUR SG 31Dec99,ING BANK N.V. Call 24.8 EUR SOCIETE GENERALE 31Dec99,NL0010360616,ing-call-24.8-eur-sg-31dec99,1117333,,,,
france,ING Call 29.1 NYMEX LS CRUDE 0416,ING BANK N.V. Call 29.1 EUR NYMEX LS CRUDE 04/16 31Dec99,NL0011619317,ing-call-29.1-nymex-ls-crude-0416,1117334,,,,
france,ING Call 29.29 ICE BRENT 0416,ING BANK N.V. Call 29.29 EUR ICE BRENT 04/16 31Dec99,NL0011493028,ing-call-29.29-ice-brent-0416,1117335,,,,
france,ING Call 33 ICE BRENT 05/16 31Dec99,ING BANK N.V. Call 33 EUR ICE BRENT 05/16 31Dec99,NL0011621024,ing-call-33-ice-brent-05-16-31dec99,1117336,,,,
france,SG ZT SILVER X5 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 LEV 31Dec99,FR0011815067,sg-zt-silver-x5-lev-31dec99,1117388,,,,
france,ING Call 33.95 ICE BRENT 0516,ING BANK N.V. Call 33.95 EUR ICE BRENT 05/16 31Dec99,NL0011622782,ing-call-33.95-ice-brent-0516,1117338,,,,
france,ING Call 48 ICE BRENT 10/17 31Dec99,ING BANK N.V. Call 48 EUR ICE BRENT 10/17 31Dec99,NL0012077226,ing-call-48-ice-brent-10-17-31dec99,1117340,,,,
france,ING Call 48.65 ICE BRENT 1017,ING BANK N.V. Call 48.65 EUR ICE BRENT 10/17 31Dec99,NL0012076772,ing-call-48.65-ice-brent-1017,1117341,,,,
france,ING Call 49.9 ICE BRENT 1017,ING BANK N.V. Call 49.9 EUR ICE BRENT 10/17 31Dec99,NL0012077291,ing-call-49.9-ice-brent-1017,1117342,,,,
france,ING Call 51.09 ICE BRENT 1117,ING BANK N.V. Call 51.09 EUR ICE BRENT 11/17 31Dec99,NL0012079289,ing-call-51.09-ice-brent-1117,1117343,,,,
france,ING Call 52.4 ICE BRENT 1117,ING BANK N.V. Call 52.4 EUR ICE BRENT 11/17 31Dec99,NL0012079883,ing-call-52.4-ice-brent-1117,1117344,,,,
france,ING Call 54.87 IPE BRENT 1217,ING BANK N.V. Call 54.87 EUR IPE BRENT 12/17 31Dec99,NL0012461784,ing-call-54.87-ipe-brent-1217,1117346,,,,
france,SG ZT Ubs-Ib Zur 31Dec99,Societe Generale Effekten GMBH ZT Ubs-Ib Zur 31Dec99,FR0010638494,sg-zt-ubs-ib-zur-31dec99,1117392,,,,
france,ING Call 55.4 ICE BRENT 1217,ING BANK N.V. Call 55.4 EUR ICE BRENT 12/17 31Dec99,NL0012463434,ing-call-55.4-ice-brent-1217,1117347,,,,
france,ING Call 57.96 ICE BRENT 0118,ING BANK N.V. Call 57.96 EUR ICE BRENT 01/18 31Dec99,NL0012464275,ing-call-57.96-ice-brent-0118,1117348,,,,
france,ING Call 725 EUR PLATINUM 31Dec99,ING BANK N.V. Call 725 EUR PLATINUM 31Dec99,NL0012823603,ing-call-725-eur-platinum-31dec99,1117349,,,,
france,ING Call 34.81 ICE BRENT 0516,ING BANK N.V. Call 34.81 EUR ICE BRENT 05/16 31Dec99,NL0011623145,ing-call-34.81-ice-brent-0516,1117339,,,,
france,SG ZT SILVER 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER 31Dec99,FR0012468098,sg-zt-silver-31dec99,1117387,,,,
france,ING Call 33.7 BNP PARIBAS 31Dec99,ING BANK N.V. Call 33.7 EUR BNP PARIBAS 31Dec99,NL0010206686,ing-call-33.7-bnp-paribas-31dec99,1117337,,,,
france,SG ZT PALLADIUM 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  PALLADIUM 31Dec99,FR0012468106,sg-zt-palladium-31dec99,1117385,,,,
france,SG ZT PLATINUM 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  PLATINUM 31Dec99,FR0012468114,sg-zt-platinum-31dec99,1117386,,,,
france,SOCIETE GENERALE CAC 40 X10 31DEC99,SOCIETE GENERALE EFFEKTEN GMBH ZT CAC 40 X10 LEVERAGE 31DEC99,FR0011214527,societe-generale-cac-40-x10-31dec99,1115847,,,,
france,SG Call 11.44 EUR ORANGE 31Dec99,SOCIETE GENERALE Call 11.44 EUR ORANGE 31Dec99,FR0012791424,sg-call-11.44-eur-orange-31dec99,1117376,,,,
france,SG Call 35.36 EUR TOTAL SA 31Dec99,SG ISSUER Call 35.36 EUR TOTAL SA 31Dec99,LU1357408704,sg-call-35.36-eur-total-sa-31dec99,1117364,,,,
france,SG Call 43 EUR AIRBUS GROUP 31Dec99,SG ISSUER Call 43 EUR AIRBUS GROUP 31Dec99,LU1383118483,sg-call-43-eur-airbus-group-31dec99,1117365,,,,
france,SG Call 54.08 RENAULT SA 31Dec99,SG ISSUER Call 54.08 EUR RENAULT SA 31Dec99,LU1248649334,sg-call-54.08-renault-sa-31dec99,1117366,,,,
france,SG Call 57 EUR DANONE 31Dec99,SG ISSUER Call 57 EUR DANONE 31Dec99,LU1299482569,sg-call-57-eur-danone-31dec99,1117368,,,,
france,SG Call 6 CREDIT AGRICOLE 31Dec99,SG ISSUER Call 6 EUR CREDIT AGRICOLE 31Dec99,LU1383125850,sg-call-6-credit-agricole-31dec99,1117370,,,,
france,SG Call 65.52 CAP GEMINI 31Dec99,SG ISSUER Call 65.52 EUR CAP GEMINI 31Dec99,LU1357398988,sg-call-65.52-cap-gemini-31dec99,1117371,,,,
france,SG Call 68.64 EUR ORPEA 31Dec99,SG ISSUER Call 68.64 EUR ORPEA 31Dec99,LU1428456526,sg-call-68.64-eur-orpea-31dec99,1117372,,,,
france,SG ZT NYMEX LS CRUDE 09/16 31Dec99,SG ISSUER ZT  NYMEX LS CRUDE 09/16 31Dec99,FR0013198488,sg-zt-nymex-ls-crude-09-16-31dec99,1117373,,,,
france,SG Call 58 SANOFI-AVENTIS 31Dec99,SG ISSUER Call 58 EUR SANOFI-AVENTIS 31Dec99,LU1476973760,sg-call-58-sanofi-aventis-31dec99,1117369,,,,
france,SG ZT Gold x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Short 31Dec99,FR0011334861,sg-zt-gold-x-5-short-31dec99,1117383,,,,
france,SG ZT WTI Fut 5X ShLev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X ShLev Ind 31Dec99,FR0013112778,sg-zt-wti-fut-5x-shlev-ind-31dec99,1117375,,,,
france,SG Call 16.64 EUR AXA 31Dec99,SOCIETE GENERALE Call 16.64 EUR AXA 31Dec99,FR0012500965,sg-call-16.64-eur-axa-31dec99,1117377,,,,
france,SG Call 18.38 EUR ALSTOM 31Dec99,SG ISSUER Call 18.38 EUR ALSTOM 31Dec99,LU1357395968,sg-call-18.38-eur-alstom-31dec99,1117362,,,,
france,SG Call WTI CRUDE 31Dec99,Societe Generale Effekten GMBH Call   WTI CRUDE 31Dec99,FR0010583914,sg-call-wti-crude-31dec99,1117378,,,,
france,SG Call ICE BRENT 05/12 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH Call  ICE BRENT 05/12 31Dec99,FR0011231844,sg-call-ice-brent-05-12-31dec99,1117379,,,,
france,SG ZT Brent x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Brent x 5 Short 31Dec99,FR0011334887,sg-zt-brent-x-5-short-31dec99,1117380,,,,
france,SG ZT GOLD 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD 31Dec99,FR0010956383,sg-zt-gold-31dec99,1117381,,,,
france,SG ZT Gold x 5 Lev 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Lev 31Dec99,FR0011334846,sg-zt-gold-x-5-lev-31dec99,1117382,,,,
