country,id
andorra,206
australia,25
austria,54
bahrain,145
belgium,34
bermuda,8
brazil,32
canada,6
cayman islands,232
chile,27
china,37
czech republic,55
denmark,24
estonia,89
finland,71
france,22
germany,17
gibraltar,147
greece,51
hong kong,39
hungary,93
iceland,106
india,14
indonesia,48
ireland,33
israel,23
italy,10
japan,35
latvia,97
liechtenstein,190
lithuania,96
luxembourg,103
malaysia,42
malta,109
mauritius,188
mexico,7
monaco,115
namibia,172
netherlands,21
new zealand,43
norway,60
oman,87
pakistan,44
philippines,45
poland,53
portugal,38
qatar,170
russia,56
saudi arabia,52
singapore,36
slovenia,112
south africa,110
south korea,11
spain,26
sweden,9
switzerland,12
taiwan,46
thailand,41
united arab emirates,143
uk,4
usa,5
vietnam,178
