country,name,full_name,tag,isin,id,currency,symbol
argentina,Tenaris,Tenaris,tenaris?cid=13302,LU0156801721,13302,ARS,TS
argentina,PETROBRAS ON,Petroleo Brasileiro - Petrobras,petrobras-on?cid=13303,BRPETRACNOR9,13303,ARS,APBR
argentina,GP Fin Galicia,Grupo Financiero Galicia B,gp-fin-galicia,ARP495251018,13304,ARS,GGAL
argentina,Ternium Argentina,Ternium Argentina Sociedad Anónima,siderar,ARSIDE010029,13305,ARS,TXAR
argentina,Pampa Energía,Pampa Energía S.A.,pampa-energia,ARP432631215,13306,ARS,PAMP
argentina,Telecom Argentina,Telecom Argentina S.A. B,telecom,ARP9028N1016,13307,ARS,TECO2
argentina,Banco Patagonia,Banco Patagonia,bco-patagonia,ARMERI013163,13308,ARS,BPAT
argentina,Aluar,Aluar Aluminio Argentino S.A.,aluar,ARALUA010258,13309,ARS,ALUA
argentina,BBVA Banco Frances,BBVA Banco Francés S.A.,frances,ARP125991090,13310,ARS,BBAR
argentina,Banco Macro,Banco Macro S.A.,macro,ARBANS010010,13311,ARS,BMA
argentina,Edenor,Empresa Distribuidora y Comercializadora Norte S.A.,edenor,ARENOR010020,13313,ARS,EDN
argentina,Transener,Transener Cía. de Transp. de Energía Eléctr. en Alta Tensión B,transener,ARTRAN010011,13314,ARS,TRAN
argentina,Mirgor,Mirgor S.A. C,mirgor,ARP6823S1295,13315,ARS,MIRG
argentina,Banco Hipotecario,Banco Hipotecario SA,bco-hipotecari,ARBHIP010161,13316,ARS,BHIP
argentina,Agrometal,Agrometal,agrometal,ARAGRO010015,13318,ARS,AGRO
argentina,Autopistas del Sol,Autopistas del Sol,autopistas-sol,ARASOL010033,13320,ARS,AUSO
argentina,Boldt Gaming,Boldt Gaming,boldt-gaming,ARBOLG010010,13321,ARS,GAMI
argentina,Boldt,Boldt,boldt,ARBOLD010054,13322,ARS,BOLT
argentina,Camuzzi Gas Pampeana,Camuzzi Gas Pampeana SA,camuzzi,ARCGSU010048,13323,ARS,CGPA2
argentina,Carlos Casado,Carlos Casado,carlos-casado,ARCADO010023,13324,ARS,CADO
argentina,Carboclor,Carboclor,carboclor,ARP8723U1058,13325,ARS,CARC
argentina,Caputo,Caputo,caputo,ARP2071R1377,13326,ARS,CAPU
argentina,Enel Generacion Costanera,Enel Generacion Costanera SA,central-costan,ARP2341J1058,13327,ARS,CECO2
argentina,Celulosa Argentina,Celulosa Argentina SA,celulosa,ARP219751426,13328,ARS,CELU
argentina,Central Puerto,Central Puerto S.A.,central-puerto,ARP2354W1188,13329,ARS,CEPU
argentina,Grupo clarin,Grupo clarin,grupo-clarin,ARGCLA010015,13330,ARS,GCLA
argentina,Colorin,Colorin Industria de Materiales Sinteticos SA,colorin,ARP2885N1161,13331,ARS,COLO
argentina,Comercial del Plata,Sociedad Comercial del Plata S.A.,comer-del-plat,ARP290071462,13332,ARS,COME
argentina,Consultatio,Consultatio SA,consultatio-s.,ARCTIO010019,13333,ARS,CTIO
argentina,Capex,Capex,capex,ARP2006N1025,13334,ARS,CAPX
argentina,Cresud,Cresud S.A.C.I.F. y A.,cresud,ARP331091024,13335,ARS,CRES
argentina,Dycasa,Dycasa SA,dycasa,ARP3594C1107,13336,ARS,DYCA
argentina,Distribuidora de Gas Cuyana,Distribuidora de Gas Cuyana SA,ecogas,ARP3568E1180,13337,ARS,DGCU2
argentina,Ferrum,Ferrum SA de Ceramica y Metalurgia,ferrum,ARP395611576,13339,ARS,FERR
argentina,Fiplasto SA,Fiplasto SA,fiplasto,ARP416191426,13340,ARS,FIPL
argentina,Garovaglio y Zorroaquin,Garovaglio y Zorroaquin,garovaglio,ARP460221020,13342,ARS,GARO
argentina,Gas Natural BAN,Gas Natural BAN,gas-natural,ARGASB010027,13343,ARS,GBAN
argentina,Grimoldi,Grimoldi SA,grimoldi,ARP493071046,13344,ARS,GRIM
argentina,Solvay Indupa,Solvay Indupa SAIC,indupa,ARP533511050,13346,ARS,INDU
argentina,IRSA,IRSA Inversiones y Representaciones SA,irsa,ARP588091073,13347,ARS,IRSA
argentina,Holcim,Holcim Argentina SA,juan-minetti,ARP6806N1051,13348,ARS,HARG
argentina,Ledesma,Ledesma SAAI,ledesma,ARP624571096,13349,ARS,LEDE
argentina,Longvie,Longvie SA,longvie,ARP6356B1059,13350,ARS,LONG
argentina,Metrogas SA,Metrogas SA,metrogas,ARP6558L1178,13351,ARS,METR
argentina,Molinos,Molinos Rio de la Plata SA,molinos,ARP689251337,13352,ARS,MOLI
argentina,Morixe Hermanos,Morixe Hermanos SACI,morixe,ARP698141040,13353,ARS,MORI
argentina,GCO,Grupo Concesionario del Oeste SA,con-del-oeste,ARGCAO010012,13354,ARS,OEST
argentina,SAIEP,Importadora y Exportadora de la Patagonia SA,i-y-e-de-la-pa,ARP530571735,13355,ARS,PATA
argentina,Polledo,Polledo SAIC,polledo,ARP7905G1652,13357,ARS,POLL
argentina,PDVSur,Petrolera del Conosur SA,pet.del-conosu,ARPETO010018,13358,ARS,PSUR
argentina,Quickfood,Quickfood SA,quickfood,ARQUIK010014,13359,ARS,PATY
argentina,Rigolleau,Rigolleau SA,rigolleau,ARP809061780,13361,ARS,RIGO
argentina,Banco Santander Rio,Banco Santander Rio SA,b-santander-ri,ARBRIO010194,13362,ARS,BRIO
argentina,Instituto Rosenbusch,Instituto Rosenbusch SA de Biologia Experimental Agropecuaria,inst-rosembusc,ARROSE010025,13363,ARS,ROSE
argentina,IRSA Propiedades,IRSA Propiedades Comerciales SA,alto-palermo,ARSAMA010012,13365,ARS,IRCP
argentina,Molinos Juan Semino,Molinos Juan Semino SA,moli-juan-semi,ARP689031069,13366,ARS,SEMI
argentina,San Miguel,San Miguel AG,san-miguel,ARSMIG010018,13367,ARS,SAMI
argentina,Telefónica,Telefonica,telefonica?cid=13370,ES0178430E18,13370,ARS,TEF
argentina,Trans. Gas Norte,Transportadora de Gas del Norte S.A. C,tran-gas-norte,ARTGNO010117,13371,ARS,TGNO4
argentina,Trans. Gas Sur,Transportadora de Gas del Sur S.A. B,tran-gas-del-s,ARP9308R1039,13372,ARS,TGSU2
argentina,YPF,YPF S.A. D,ypf-sociedad,ARP9897X1319,13373,ARS,YPFD
argentina,Inversora Juramento,Inversora Juramento SA,inversora-juramento,ARINJU010010,19022,ARS,INVJ
argentina,Chevron DRC,Chevron Corp DRC,chevron-corp-ar,ARDEUT110087,29974,ARS,CVX
argentina,Citigroup DRC,Citigroup Inc DRC,citigroup-incorporated,ARDEUT110426,29977,ARS,C
argentina,Bank of America DRC,Bank of America Corp DRC,bank-of-america-corp,ARDEUT112851,29979,ARS,BAC
argentina,AT&T DRC,AT&T Inc DRC,at-t-inc.,ARDEUT111713,29981,ARS,T
argentina,Caterpillar DRC,Caterpillar Inc DRC,caterpillar-inc-ar,ARDEUT110079,29984,ARS,CAT
argentina,Intel DRC,Intel Corp DRC,intel-ar,ARDEUT110210,29987,ARS,INTC
argentina,Microsoft DRC,Microsoft Corp DRC,microsoft-corp-ar,ARDEUT110285,29991,ARS,MSFT
argentina,Arconic CEDEAR,Arconic Inc CEDEAR,alcoa-inc.,ARDEUT110020,29996,ARS,ARNC
argentina,Walt Disney DRC,Walt Disney Company DRC,walt-disney-company,ARDEUT110137,30006,ARS,DISN
argentina,Cisco Systems DRC,Cisco Systems DRC,cisco-systems,ARDEUT110095,30012,ARS,CSCO
