country,name,symbol,tag,id,issuer,isin,asset class
namibia,Sanlam Namibia Floating Rate Fund B,0P0000SEJT,sanlam-namibia-floating-rate-fundb1,1043238,Sanlam Namibia Trust Managers,ZAE000150512,bond
namibia,Sanlam Namibia General Equity Fund B,0P0000SEJY,sanlam-namibia-general-equity-b,1090498,Sanlam Namibia Trust Managers,ZAE000153110,equity
namibia,Sanlam Namibia General Equity Fund D,0P00017HOH,sanlam-namibia-general-equity-fund,1030899,Sanlam Namibia Trust Managers,ZAE000157558,equity
namibia,Sanlam Namibia General Equity Fund A,0P0000JZKN,sanlam-namibia-general-equity-a,1090513,Sanlam Namibia Trust Managers,ZAE000021341,equity
namibia,Sanlam Namibia General Equity Fund C,0P00017HOG,sanlam-namibia-general-equity-c,1090517,Sanlam Namibia Trust Managers,ZAE000212312,equity
namibia,Sanlam Namibia Balanced Fund C,0P00017HOE,sanlam-namibia-balanced-fund-c,1090516,Sanlam Namibia Trust Managers,ZAE000212296,equity
namibia,Sanlam Namibia Balanced Fund A,0P0000JZKS,sanlam-namibia-balanced-fund-a,1090512,Sanlam Namibia Trust Managers,ZAE000024527,equity
namibia,Sanlam Namibia Balanced Fund B1,0P0000JZKT,sanlam-namibia-balanced-fund-b1,1090496,Sanlam Namibia Trust Managers,ZAE000061248,equity
namibia,Sanlam Namibia Balanced Fund D,0P00017HOF,sanlam-namibia-balanced-fund-d,1030898,Sanlam Namibia Trust Managers,ZAE000157541,equity
namibia,Capricorn International Fund C,0P0000W7GH,capricorn-international-fund-c,1043240,Capricorn Unit Trust Management Company,ZAE000164356,equity
namibia,Sanlam Namibia Money Market Fund A,0P0000JZKU,sanlam-namibia-money-market-fund-a,1090509,Sanlam Namibia Trust Managers,ZAE000046132,bond
namibia,Sanlam Namibia Money Market Fund B1,0P0000JZKV,sanlam-namibia-money-market-fund-b1,1090501,Sanlam Namibia Trust Managers,ZAE000061263,bond
namibia,Sanlam Namibia All Namibian Fund D,0P0000VRFR,sanlam-namibia-all-namibian-fund-d,1090502,Sanlam Namibia Trust Managers,ZAE000156915,equity
namibia,Sanlam Namibia All Namibian Fund B,0P0000VRFQ,sanlam-namibia-all-namibian-fund-b,1090503,Sanlam Namibia Trust Managers,ZAE000156907,equity
namibia,Sanlam Namibia All Namibian Fund A,0P0000VRFP,sanlam-namibia-all-namibian-fund-a,1090504,Sanlam Namibia Trust Managers,ZAE000156899,equity
namibia,Sanlam Namibia Global Fund,0P0000JZKM,sanlam-namibia-global-fund,1090515,Sanlam Namibia Trust Managers,ZAE000024519,equity
namibia,Sanlam Namibia Global Trust B,0P0000SEJX,sanlam-namibia-global-trust-b,1090499,Sanlam Namibia Trust Managers,ZAE000153128,equity
namibia,Sanlam Namibia Property Fund D,0P0000VRFO,sanlam-namibia-property-fund-d,1090505,Sanlam Namibia Trust Managers,ZAE000156949,equity
namibia,Sanlam Namibia Property Fund D2,0P00012OP7,sanlam-namibia-property-fund-d2,1090508,Sanlam Namibia Trust Managers,ZAE000189130,equity
namibia,Sanlam Namibia Property Fund B,0P0000VRFN,sanlam-namibia-property-fund-b,1090506,Sanlam Namibia Trust Managers,ZAE000156931,equity
namibia,Sanlam Namibia Property Fund A,0P0000VRFM,sanlam-namibia-property-fund-a,1090507,Sanlam Namibia Trust Managers,ZAE000156923,equity
namibia,Sanlam Namibia Value Fund A,0P0000SEJV,sanlam-namibia-value-fund-a,1090520,Sanlam Namibia Trust Managers,ZAE000150520,equity
namibia,Sanlam Namibia Value Fund B,0P0000SEJW,sanlam-namibia-value-fund-b,1090519,Sanlam Namibia Trust Managers,ZAE000150538,equity
namibia,Sanlam Namibia Value Fund D,0P00017HOJ,sanlam-namibia-value-fund-d,1090510,Sanlam Namibia Trust Managers,ZAE000157566,equity
namibia,Sanlam Namibia Enhanced Cash Fund A,0P0000JZKI,sanlam-namibia-enhanced-cash-fund-a,1090514,Sanlam Namibia Trust Managers,ZAE000029633,bond
namibia,Sanlam Namibia Enhanced Cash Fund B1,0P0000JZKJ,sanlam-namibia-enhanced-cash-b1,1090497,Sanlam Namibia Trust Managers,ZAE000061271,bond
netherlands,Actiam Responsible Index Fund Equity - North America,0P00014EJI,actiam-responsible-index-fund-equna,1025951,ACTIAM N.V.,,equity
