name,full_name,tag,id,base,base_name,second,second_name
USD/BRLT,USD/BRLT - US Dollar Brazilian Real Tourism,usd-brlt,1121152,USD,US Dollar,BRLT,Brazilian Real Tourism
CAD/CHF,CAD/CHF - Canadian Dollar Swiss Franc,cad-chf,14,CAD,Canadian Dollar,CHF,Swiss Franc
CHF/CAD,CHF/CAD - Swiss Franc Canadian Dollar,chf-cad,1545,CHF,Swiss Franc,CAD,Canadian Dollar
CAD/PLN,CAD/PLN - Canadian Dollar Polish Zloty,cad-pln,83,CAD,Canadian Dollar,PLN,Polish Zloty
PLN/CAD,PLN/CAD - Polish Zloty Canadian Dollar,pln-cad,9977,PLN,Polish Zloty,CAD,Canadian Dollar
CAD/DKK,CAD/DKK - Canadian Dollar Danish Krone,cad-dkk,106,CAD,Canadian Dollar,DKK,Danish Krone
DKK/CAD,DKK/CAD - Danish Krone Canadian Dollar,dkk-cad,9576,DKK,Danish Krone,CAD,Canadian Dollar
CAD/NOK,CAD/NOK - Canadian Dollar Norwegian Krone,cad-nok,114,CAD,Canadian Dollar,NOK,Norwegian Krone
NOK/CAD,NOK/CAD - Norwegian Krone Canadian Dollar,nok-cad,9842,NOK,Norwegian Krone,CAD,Canadian Dollar
CAD/SEK,CAD/SEK - Canadian Dollar Swedish Krona,cad-sek,141,CAD,Canadian Dollar,SEK,Swedish Krona
SEK/CAD,SEK/CAD - Swedish Krona Canadian Dollar,sek-cad,10131,SEK,Swedish Krona,CAD,Canadian Dollar
CAD/EUR,CAD/EUR - Canadian Dollar Euro,cad-eur,1525,CAD,Canadian Dollar,EUR,Euro
EUR/CAD,EUR/CAD - Euro Canadian Dollar,eur-cad,16,EUR,Euro,CAD,Canadian Dollar
CAD/GBP,CAD/GBP - Canadian Dollar British Pound,cad-gbp,1526,CAD,Canadian Dollar,GBP,British Pound
GBP/CAD,GBP/CAD - British Pound Canadian Dollar,gbp-cad,54,GBP,British Pound,CAD,Canadian Dollar
CAD/CZK,CAD/CZK - Canadian Dollar Czech Koruna,cad-czk,9461,CAD,Canadian Dollar,CZK,Czech Koruna
CAD/HUF,CAD/HUF - Canadian Dollar Hungarian Forint,cad-huf,9464,CAD,Canadian Dollar,HUF,Hungarian Forint
CAD/ISK,CAD/ISK - Canadian Dollar Icelandic Kr,cad-isk,9465,CAD,Canadian Dollar,ISK,Icelandic Kr
CAD/RON,CAD/RON - Canadian Dollar Romanian Leu,cad-ron,9480,CAD,Canadian Dollar,RON,Romanian Leu
CAD/RUB,CAD/RUB - Canadian Dollar Russian Ruble,cad-rub,9481,CAD,Canadian Dollar,RUB,Russian Ruble
RUB/CAD,RUB/CAD - Russian Ruble Canadian Dollar,rub-cad,13919,RUB,Russian Ruble,CAD,Canadian Dollar
CAD/TRY,CAD/TRY - Canadian Dollar Turkish Lira,cad-try,9483,CAD,Canadian Dollar,TRY,Turkish Lira
TRY/CAD,TRY/CAD - Turkish Lira Canadian Dollar,try-cad,10247,TRY,Turkish Lira,CAD,Canadian Dollar
CAD/BYN,CAD/BYN - Canadian Dollar Belarusian Ruble,cad-byn,53090,CAD,Canadian Dollar,BYN,Belarusian Ruble
CAD/UAH,CAD/UAH - Canadian Dollar Ukrainian Hryvnia,cad-uah,940805,CAD,Canadian Dollar,UAH,Ukrainian Hryvnia
CAD/JPY,CAD/JPY - Canadian Dollar Japanese Yen,cad-jpy,51,CAD,Canadian Dollar,JPY,Japanese Yen
JPY/CAD,JPY/CAD - Japanese Yen Canadian Dollar,jpy-cad,1891,JPY,Japanese Yen,CAD,Canadian Dollar
CAD/SGD,CAD/SGD - Canadian Dollar Singapore Dollar,cad-sgd,133,CAD,Canadian Dollar,SGD,Singapore Dollar
SGD/CAD,SGD/CAD - Singapore Dollar Canadian Dollar,sgd-cad,2028,SGD,Singapore Dollar,CAD,Canadian Dollar
CAD/HKD,CAD/HKD - Canadian Dollar Hong Kong Dollar,cad-hkd,151,CAD,Canadian Dollar,HKD,Hong Kong Dollar
