name,full_name,tag,id,base,base_name,second,second_name
HKD/CAD,HKD/CAD - Hong Kong Dollar Canadian Dollar,hkd-cad,9618,HKD,Hong Kong Dollar,CAD,Canadian Dollar
CAD/CNY,CAD/CNY - Canadian Dollar Chinese Yuan,cad-cny,1524,CAD,Canadian Dollar,CNY,Chinese Yuan
CNY/CAD,CNY/CAD - Chinese Yuan Canadian Dollar,cny-cad,9494,CNY,Chinese Yuan,CAD,Canadian Dollar
CAD/IDR,CAD/IDR - Canadian Dollar Indonesian Rupiah,cad-idr,1527,CAD,Canadian Dollar,IDR,Indonesian Rupiah
IDR/CAD,IDR/CAD - Indonesian Rupiah Canadian Dollar,idr-cad,1841,IDR,Indonesian Rupiah,CAD,Canadian Dollar
CAD/INR,CAD/INR - Canadian Dollar Indian Rupee,cad-inr,1529,CAD,Canadian Dollar,INR,Indian Rupee
CAD/KRW,CAD/KRW - Canadian Dollar Korean Won,cad-krw,1530,CAD,Canadian Dollar,KRW,Korean Won
KRW/CAD,KRW/CAD - Korean Won Canadian Dollar,krw-cad,13925,KRW,Korean Won,CAD,Canadian Dollar
CAD/MYR,CAD/MYR - Canadian Dollar Malaysian Ringgit,cad-myr,1533,CAD,Canadian Dollar,MYR,Malaysian Ringgit
CAD/PKR,CAD/PKR - Canadian Dollar Pakistani Rupee,cad-pkr,1535,CAD,Canadian Dollar,PKR,Pakistani Rupee
CAD/THB,CAD/THB - Canadian Dollar Thai Baht,cad-thb,1536,CAD,Canadian Dollar,THB,Thai Baht
CAD/TWD,CAD/TWD - Canadian Dollar Taiwan Dollar,cad-twd,1537,CAD,Canadian Dollar,TWD,Taiwan Dollar
TWD/CAD,TWD/CAD - Taiwan Dollar Canadian Dollar,twd-cad,10301,TWD,Taiwan Dollar,CAD,Canadian Dollar
CAD/LKR,CAD/LKR - Canadian Dollar Sri Lankan Rupee,cad-lkr,9470,CAD,Canadian Dollar,LKR,Sri Lankan Rupee
CAD/NPR,CAD/NPR - Canadian Dollar Nepalese Rupee,cad-npr,9475,CAD,Canadian Dollar,NPR,Nepalese Rupee
CAD/PHP,CAD/PHP - Canadian Dollar Philippine Peso,cad-php,9478,CAD,Canadian Dollar,PHP,Philippine Peso
CAD/AED,CAD/AED - Canadian Dollar UAE Dirham,cad-aed,1520,CAD,Canadian Dollar,AED,UAE Dirham
AED/CAD,AED/CAD - UAE Dirham Canadian Dollar,aed-cad,9278,AED,UAE Dirham,CAD,Canadian Dollar
CAD/ILS,CAD/ILS - Canadian Dollar Israeli Shekel,cad-ils,1528,CAD,Canadian Dollar,ILS,Israeli Shekel
ILS/CAD,ILS/CAD - Israeli Shekel Canadian Dollar,ils-cad,9679,ILS,Israeli Shekel,CAD,Canadian Dollar
CAD/KWD,CAD/KWD - Canadian Dollar Kuwaiti Dinar,cad-kwd,1531,CAD,Canadian Dollar,KWD,Kuwaiti Dinar
CAD/BHD,CAD/BHD - Canadian Dollar Baharain Dinar,cad-bhd,9459,CAD,Canadian Dollar,BHD,Baharain Dinar
CAD/JOD,CAD/JOD - Canadian Dollar Jordan Dinar,cad-jod,9467,CAD,Canadian Dollar,JOD,Jordan Dinar
CAD/LBP,CAD/LBP - Canadian Dollar Lebanese Pound,cad-lbp,9469,CAD,Canadian Dollar,LBP,Lebanese Pound
CAD/OMR,CAD/OMR - Canadian Dollar Omani Rial,cad-omr,9476,CAD,Canadian Dollar,OMR,Omani Rial
CAD/QAR,CAD/QAR - Canadian Dollar Qatari Riyal,cad-qar,9479,CAD,Canadian Dollar,QAR,Qatari Riyal
CAD/SAR,CAD/SAR - Canadian Dollar Saudi Riyal,cad-sar,9482,CAD,Canadian Dollar,SAR,Saudi Riyal
SAR/CAD,SAR/CAD - Saudi Riyal Canadian Dollar,sar-cad,10075,SAR,Saudi Riyal,CAD,Canadian Dollar
CAD/ARS,CAD/ARS - Canadian Dollar Argentinian Peso,cad-ars,1521,CAD,Canadian Dollar,ARS,Argentinian Peso
ARS/CAD,ARS/CAD - Argentinian Peso Canadian Dollar,ars-cad,9332,ARS,Argentinian Peso,CAD,Canadian Dollar
CAD/BRL,CAD/BRL - Canadian Dollar Brazil Real,cad-brl,1523,CAD,Canadian Dollar,BRL,Brazil Real
BRL/CAD,BRL/CAD - Brazil Real Canadian Dollar,brl-cad,1507,BRL,Brazil Real,CAD,Canadian Dollar
CAD/CLP,CAD/CLP - Canadian Dollar Chilean Peso,cad-clp,9460,CAD,Canadian Dollar,CLP,Chilean Peso
CAD/COP,CAD/COP - Canadian Dollar Colombian Peso,cad-cop,993165,CAD,Canadian Dollar,COP,Colombian Peso
CAD/AUD,CAD/AUD - Canadian Dollar Australian Dollar,cad-aud,1522,CAD,Canadian Dollar,AUD,Australian Dollar
AUD/CAD,AUD/CAD - Australian Dollar Canadian Dollar,aud-cad,47,AUD,Australian Dollar,CAD,Canadian Dollar
CAD/NZD,CAD/NZD - Canadian Dollar New Zealand Dollar,cad-nzd,1534,CAD,Canadian Dollar,NZD,New Zealand Dollar
NZD/CAD,NZD/CAD - New Zealand Dollar Canadian Dollar,nzd-cad,56,NZD,New Zealand Dollar,CAD,Canadian Dollar
CAD/MXN,CAD/MXN - Canadian Dollar Mexican Peso,cad-mxn,1532,CAD,Canadian Dollar,MXN,Mexican Peso
MXN/CAD,MXN/CAD - Mexican Peso Canadian Dollar,mxn-cad,9793,MXN,Mexican Peso,CAD,Canadian Dollar
CAD/USD,CAD/USD - Canadian Dollar US Dollar,cad-usd,1538,CAD,Canadian Dollar,USD,US Dollar
USD/CAD,USD/CAD - US Dollar Canadian Dollar,usd-cad,7,USD,US Dollar,CAD,Canadian Dollar
CAD/ZAR,CAD/ZAR - Canadian Dollar South African Rand,cad-zar,1539,CAD,Canadian Dollar,ZAR,South African Rand
ZAR/CAD,ZAR/CAD - South African Rand Canadian Dollar,zar-cad,10408,ZAR,South African Rand,CAD,Canadian Dollar
CAD/EGP,CAD/EGP - Canadian Dollar Egyptian Pound,cad-egp,9463,CAD,Canadian Dollar,EGP,Egyptian Pound
CAD/KES,CAD/KES - Canadian Dollar Kenyan Shilling,cad-kes,9468,CAD,Canadian Dollar,KES,Kenyan Shilling
CAD/MAD,CAD/MAD - Canadian Dollar Moroccan Dirham,cad-mad,9473,CAD,Canadian Dollar,MAD,Moroccan Dirham
CAD/NAD,CAD/NAD - Canadian Dollar Namibian Dollar,cad-nad,9474,CAD,Canadian Dollar,NAD,Namibian Dollar
CAD/XAF,CAD/XAF - Canadian Dollar Central African Franc,cad-xaf,9485,CAD,Canadian Dollar,XAF,Central African Franc
CAD/XOF,CAD/XOF - Canadian Dollar West African CFA franc,cad-xof,9487,CAD,Canadian Dollar,XOF,West African CFA franc
CAD/BBD,CAD/BBD - Canadian Dollar Barbadian Dollar,cad-bbd,9458,CAD,Canadian Dollar,BBD,Barbadian Dollar
CAD/JMD,CAD/JMD - Canadian Dollar Jamaican Dollar,cad-jmd,9466,CAD,Canadian Dollar,JMD,Jamaican Dollar
CAD/XCD,CAD/XCD - Canadian Dollar East Caribbean Dollar,cad-xcd,9486,CAD,Canadian Dollar,XCD,East Caribbean Dollar
CAD/PAB,CAD/PAB - Canadian Dollar Panamanian Balboa,cad-pab,9477,CAD,Canadian Dollar,PAB,Panamanian Balboa
MXN/AUD,MXN/AUD - Mexican Peso Australian Dollar,mxn-aud,9790,MXN,Mexican Peso,AUD,Australian Dollar
AUD/MXN,AUD/MXN - Australian Dollar Mexican Peso,aud-mxn,1495,AUD,Australian Dollar,MXN,Mexican Peso
MXN/NZD,MXN/NZD - Mexican Peso New Zealand Dollar,mxn-nzd,9817,MXN,Mexican Peso,NZD,New Zealand Dollar
NZD/MXN,NZD/MXN - New Zealand Dollar Mexican Peso,nzd-mxn,9906,NZD,New Zealand Dollar,MXN,Mexican Peso
MXN/JPY,MXN/JPY - Mexican Peso Japanese Yen,mxn-jpy,79,MXN,Mexican Peso,JPY,Japanese Yen
JPY/MXN,JPY/MXN - Japanese Yen Mexican Peso,jpy-mxn,1901,JPY,Japanese Yen,MXN,Mexican Peso
MXN/THB,MXN/THB - Mexican Peso Thai Baht,mxn-thb,9828,MXN,Mexican Peso,THB,Thai Baht
THB/MXN,THB/MXN - Thai Baht Mexican Peso,thb-mxn,10227,THB,Thai Baht,MXN,Mexican Peso
MXN/SGD,MXN/SGD - Mexican Peso Singapore Dollar,mxn-sgd,9827,MXN,Mexican Peso,SGD,Singapore Dollar
SGD/MXN,SGD/MXN - Singapore Dollar Mexican Peso,sgd-mxn,2037,SGD,Singapore Dollar,MXN,Mexican Peso
MXN/HKD,MXN/HKD - Mexican Peso Hong Kong Dollar,mxn-hkd,1948,MXN,Mexican Peso,HKD,Hong Kong Dollar
HKD/MXN,HKD/MXN - Hong Kong Dollar Mexican Peso,hkd-mxn,1824,HKD,Hong Kong Dollar,MXN,Mexican Peso
MXN/KRW,MXN/KRW - Mexican Peso Korean Won,mxn-krw,9809,MXN,Mexican Peso,KRW,Korean Won
MXN/INR,MXN/INR - Mexican Peso Indian Rupee,mxn-inr,9805,MXN,Mexican Peso,INR,Indian Rupee
INR/MXN,INR/MXN - Indian Rupee Mexican Peso,inr-mxn,9744,INR,Indian Rupee,MXN,Mexican Peso
MXN/TWD,MXN/TWD - Mexican Peso Taiwan Dollar,mxn-twd,9830,MXN,Mexican Peso,TWD,Taiwan Dollar
TWD/MXN,TWD/MXN - Taiwan Dollar Mexican Peso,twd-mxn,10322,TWD,Taiwan Dollar,MXN,Mexican Peso
MXN/CNY,MXN/CNY - Mexican Peso Chinese Yuan,mxn-cny,9796,MXN,Mexican Peso,CNY,Chinese Yuan
CNY/MXN,CNY/MXN - Chinese Yuan Mexican Peso,cny-mxn,9517,CNY,Chinese Yuan,MXN,Mexican Peso
MXN/IDR,MXN/IDR - Mexican Peso Indonesian Rupiah,mxn-idr,9803,MXN,Mexican Peso,IDR,Indonesian Rupiah
MXN/MYR,MXN/MYR - Mexican Peso Malaysian Ringgit,mxn-myr,9813,MXN,Mexican Peso,MYR,Malaysian Ringgit
MXN/PHP,MXN/PHP - Mexican Peso Philippine Peso,mxn-php,9819,MXN,Mexican Peso,PHP,Philippine Peso
PHP/MXN,PHP/MXN - Philippine Peso Mexican Peso,php-mxn,9940,PHP,Philippine Peso,MXN,Mexican Peso
MXN/PKR,MXN/PKR - Mexican Peso Pakistani Rupee,mxn-pkr,9820,MXN,Mexican Peso,PKR,Pakistani Rupee
MXN/LKR,MXN/LKR - Mexican Peso Sri Lankan Rupee,mxn-lkr,9811,MXN,Mexican Peso,LKR,Sri Lankan Rupee
MXN/NPR,MXN/NPR - Mexican Peso Nepalese Rupee,mxn-npr,9816,MXN,Mexican Peso,NPR,Nepalese Rupee
MXN/GBP,MXN/GBP - Mexican Peso British Pound,mxn-gbp,9801,MXN,Mexican Peso,GBP,British Pound
GBP/MXN,GBP/MXN - British Pound Mexican Peso,gbp-mxn,1778,GBP,British Pound,MXN,Mexican Peso
MXN/CHF,MXN/CHF - Mexican Peso Swiss Franc,mxn-chf,9794,MXN,Mexican Peso,CHF,Swiss Franc
CHF/MXN,CHF/MXN - Swiss Franc Mexican Peso,chf-mxn,1554,CHF,Swiss Franc,MXN,Mexican Peso
MXN/DKK,MXN/DKK - Mexican Peso Danish Krone,mxn-dkk,1945,MXN,Mexican Peso,DKK,Danish Krone
DKK/MXN,DKK/MXN - Danish Krone Mexican Peso,dkk-mxn,1591,DKK,Danish Krone,MXN,Mexican Peso
MXN/NOK,MXN/NOK - Mexican Peso Norwegian Krone,mxn-nok,9815,MXN,Mexican Peso,NOK,Norwegian Krone
NOK/MXN,NOK/MXN - Norwegian Krone Mexican Peso,nok-mxn,9863,NOK,Norwegian Krone,MXN,Mexican Peso
MXN/PLN,MXN/PLN - Mexican Peso Polish Zloty,mxn-pln,9821,MXN,Mexican Peso,PLN,Polish Zloty
PLN/MXN,PLN/MXN - Polish Zloty Mexican Peso,pln-mxn,9999,PLN,Polish Zloty,MXN,Mexican Peso
MXN/TRY,MXN/TRY - Mexican Peso Turkish Lira,mxn-try,9829,MXN,Mexican Peso,TRY,Turkish Lira
TRY/MXN,TRY/MXN - Turkish Lira Mexican Peso,try-mxn,10271,TRY,Turkish Lira,MXN,Mexican Peso
MXN/HUF,MXN/HUF - Mexican Peso Hungarian Forint,mxn-huf,9802,MXN,Mexican Peso,HUF,Hungarian Forint
MXN/CZK,MXN/CZK - Mexican Peso Czech Koruna,mxn-czk,9797,MXN,Mexican Peso,CZK,Czech Koruna
MXN/EUR,MXN/EUR - Mexican Peso Euro,mxn-eur,9800,MXN,Mexican Peso,EUR,Euro
EUR/MXN,EUR/MXN - Euro Mexican Peso,eur-mxn,101,EUR,Euro,MXN,Mexican Peso
MXN/SEK,MXN/SEK - Mexican Peso Swedish Krona,mxn-sek,9826,MXN,Mexican Peso,SEK,Swedish Krona
SEK/MXN,SEK/MXN - Swedish Krona Mexican Peso,sek-mxn,10151,SEK,Swedish Krona,MXN,Mexican Peso
MXN/ISK,MXN/ISK - Mexican Peso Icelandic Kr,mxn-isk,9806,MXN,Mexican Peso,ISK,Icelandic Kr
MXN/RON,MXN/RON - Mexican Peso Romanian Leu,mxn-ron,9823,MXN,Mexican Peso,RON,Romanian Leu
MXN/RUB,MXN/RUB - Mexican Peso Russian Ruble,mxn-rub,9824,MXN,Mexican Peso,RUB,Russian Ruble
RUB/MXN,RUB/MXN - Russian Ruble Mexican Peso,rub-mxn,10050,RUB,Russian Ruble,MXN,Mexican Peso
MXN/USD,MXN/USD - Mexican Peso US Dollar,mxn-usd,9831,MXN,Mexican Peso,USD,US Dollar
USD/MXN,USD/MXN - US Dollar Mexican Peso,usd-mxn,39,USD,US Dollar,MXN,Mexican Peso
MXN/ZAR,MXN/ZAR - Mexican Peso South African Rand,mxn-zar,1951,MXN,Mexican Peso,ZAR,South African Rand
ZAR/MXN,ZAR/MXN - South African Rand Mexican Peso,zar-mxn,10427,ZAR,South African Rand,MXN,Mexican Peso
MXN/EGP,MXN/EGP - Mexican Peso Egyptian Pound,mxn-egp,9799,MXN,Mexican Peso,EGP,Egyptian Pound
MXN/MAD,MXN/MAD - Mexican Peso Moroccan Dirham,mxn-mad,9812,MXN,Mexican Peso,MAD,Moroccan Dirham
MXN/KES,MXN/KES - Mexican Peso Kenyan Shilling,mxn-kes,9808,MXN,Mexican Peso,KES,Kenyan Shilling
MXN/NAD,MXN/NAD - Mexican Peso Namibian Dollar,mxn-nad,9814,MXN,Mexican Peso,NAD,Namibian Dollar
MXN/XAF,MXN/XAF - Mexican Peso Central African Franc,mxn-xaf,9833,MXN,Mexican Peso,XAF,Central African Franc
MXN/XOF,MXN/XOF - Mexican Peso West African CFA franc,mxn-xof,9835,MXN,Mexican Peso,XOF,West African CFA franc
MXN/AED,MXN/AED - Mexican Peso UAE Dirham,mxn-aed,9788,MXN,Mexican Peso,AED,UAE Dirham
AED/MXN,AED/MXN - UAE Dirham Mexican Peso,aed-mxn,9293,AED,UAE Dirham,MXN,Mexican Peso
MXN/ILS,MXN/ILS - Mexican Peso Israeli Shekel,mxn-ils,9804,MXN,Mexican Peso,ILS,Israeli Shekel
ILS/MXN,ILS/MXN - Israeli Shekel Mexican Peso,ils-mxn,9703,ILS,Israeli Shekel,MXN,Mexican Peso
MXN/SAR,MXN/SAR - Mexican Peso Saudi Riyal,mxn-sar,9825,MXN,Mexican Peso,SAR,Saudi Riyal
SAR/MXN,SAR/MXN - Saudi Riyal Mexican Peso,sar-mxn,10101,SAR,Saudi Riyal,MXN,Mexican Peso
MXN/QAR,MXN/QAR - Mexican Peso Qatari Riyal,mxn-qar,9822,MXN,Mexican Peso,QAR,Qatari Riyal
MXN/LBP,MXN/LBP - Mexican Peso Lebanese Pound,mxn-lbp,9810,MXN,Mexican Peso,LBP,Lebanese Pound
MXN/ARS,MXN/ARS - Mexican Peso Argentinian Peso,mxn-ars,9789,MXN,Mexican Peso,ARS,Argentinian Peso
ARS/MXN,ARS/MXN - Argentinian Peso Mexican Peso,ars-mxn,1480,ARS,Argentinian Peso,MXN,Mexican Peso
MXN/BRL,MXN/BRL - Mexican Peso Brazil Real,mxn-brl,9792,MXN,Mexican Peso,BRL,Brazil Real
BRL/MXN,BRL/MXN - Brazil Real Mexican Peso,brl-mxn,1514,BRL,Brazil Real,MXN,Mexican Peso
MXN/CLP,MXN/CLP - Mexican Peso Chilean Peso,mxn-clp,9795,MXN,Mexican Peso,CLP,Chilean Peso
CLP/MXN,CLP/MXN - Chilean Peso Mexican Peso,clp-mxn,10501,CLP,Chilean Peso,MXN,Mexican Peso
MXN/PEN,MXN/PEN - Mexican Peso Peru Sol,mxn-pen,10510,MXN,Mexican Peso,PEN,Peru Sol
PEN/MXN,PEN/MXN - Peru Sol Mexican Peso,pen-mxn,10502,PEN,Peru Sol,MXN,Mexican Peso
MXN/COP,MXN/COP - Mexican Peso Colombian Peso,mxn-cop,10508,MXN,Mexican Peso,COP,Colombian Peso
COP/MXN,COP/MXN - Colombian Peso Mexican Peso,cop-mxn,10498,COP,Colombian Peso,MXN,Mexican Peso
MXN/BOB,MXN/BOB - Mexican Peso Bolivian Boliviano,mxn-bob,10512,MXN,Mexican Peso,BOB,Bolivian Boliviano
BOB/MXN,BOB/MXN - Bolivian Boliviano Mexican Peso,bob-mxn,10503,BOB,Bolivian Boliviano,MXN,Mexican Peso
MXN/PYG,MXN/PYG - Mexican Peso Paraguayan Guarani,mxn-pyg,10504,MXN,Mexican Peso,PYG,Paraguayan Guarani
PYG/MXN,PYG/MXN - Paraguayan Guarani Mexican Peso,pyg-mxn,10499,PYG,Paraguayan Guarani,MXN,Mexican Peso
MXN/UYU,MXN/UYU - Mexican Peso Uruguayan Peso,mxn-uyu,10506,MXN,Mexican Peso,UYU,Uruguayan Peso
UYU/MXN,UYU/MXN - Uruguayan Peso Mexican Peso,uyu-mxn,10500,UYU,Uruguayan Peso,MXN,Mexican Peso
MXN/BBD,MXN/BBD - Mexican Peso Barbadian Dollar,mxn-bbd,9791,MXN,Mexican Peso,BBD,Barbadian Dollar
MXN/JMD,MXN/JMD - Mexican Peso Jamaican Dollar,mxn-jmd,9807,MXN,Mexican Peso,JMD,Jamaican Dollar
MXN/XCD,MXN/XCD - Mexican Peso East Caribbean Dollar,mxn-xcd,9834,MXN,Mexican Peso,XCD,East Caribbean Dollar
MXN/PAB,MXN/PAB - Mexican Peso Panamanian Balboa,mxn-pab,9818,MXN,Mexican Peso,PAB,Panamanian Balboa
USD/JPY,USD/JPY - US Dollar Japanese Yen,usd-jpy,3,USD,US Dollar,JPY,Japanese Yen
JPY/USD,JPY/USD - Japanese Yen US Dollar,jpy-usd,1910,JPY,Japanese Yen,USD,US Dollar
USD/SGD,USD/SGD - US Dollar Singapore Dollar,usd-sgd,42,USD,US Dollar,SGD,Singapore Dollar
SGD/USD,SGD/USD - Singapore Dollar US Dollar,sgd-usd,2044,SGD,Singapore Dollar,USD,US Dollar
USD/THB,USD/THB - US Dollar Thai Baht,usd-thb,147,USD,US Dollar,THB,Thai Baht
THB/USD,THB/USD - Thai Baht US Dollar,thb-usd,1086989,THB,Thai Baht,USD,US Dollar
USD/HKD,USD/HKD - US Dollar Hong Kong Dollar,usd-hkd,155,USD,US Dollar,HKD,Hong Kong Dollar
HKD/USD,HKD/USD - Hong Kong Dollar US Dollar,hkd-usd,9651,HKD,Hong Kong Dollar,USD,US Dollar
USD/INR,USD/INR - US Dollar Indian Rupee,usd-inr,160,USD,US Dollar,INR,Indian Rupee
INR/USD,INR/USD - Indian Rupee US Dollar,inr-usd,941148,INR,Indian Rupee,USD,US Dollar
USD/KRW,USD/KRW - US Dollar Korean Won,usd-krw,650,USD,US Dollar,KRW,Korean Won
KRW/USD,KRW/USD - Korean Won US Dollar,krw-usd,13922,KRW,Korean Won,USD,US Dollar
USD/BDT,USD/BDT - US Dollar Bangladeshi Taka,usd-bdt,2096,USD,US Dollar,BDT,Bangladeshi Taka
USD/BND,USD/BND - US Dollar Brunei Dollar,usd-bnd,2101,USD,US Dollar,BND,Brunei Dollar
USD/CNY,USD/CNY - US Dollar Chinese Yuan,usd-cny,2111,USD,US Dollar,CNY,Chinese Yuan
CNY/USD,CNY/USD - Chinese Yuan US Dollar,cny-usd,9536,CNY,Chinese Yuan,USD,US Dollar
USD/IDR,USD/IDR - US Dollar Indonesian Rupiah,usd-idr,2138,USD,US Dollar,IDR,Indonesian Rupiah
IDR/USD,IDR/USD - Indonesian Rupiah US Dollar,idr-usd,1031289,IDR,Indonesian Rupiah,USD,US Dollar
USD/KHR,USD/KHR - US Dollar Cambodian Riel,usd-khr,2145,USD,US Dollar,KHR,Cambodian Riel
USD/KZT,USD/KZT - US Dollar Kazakh Tenge,usd-kzt,2148,USD,US Dollar,KZT,Kazakh Tenge
USD/LAK,USD/LAK - US Dollar Lao Kip,usd-lak,2149,USD,US Dollar,LAK,Lao Kip
USD/LKR,USD/LKR - US Dollar Sri Lankan Rupee,usd-lkr,2151,USD,US Dollar,LKR,Sri Lankan Rupee
USD/MMK,USD/MMK - US Dollar Myanmar kyat,usd-mmk,2161,USD,US Dollar,MMK,Myanmar kyat
USD/MOP,USD/MOP - US Dollar Macanese Pataca,usd-mop,2162,USD,US Dollar,MOP,Macanese Pataca
USD/MVR,USD/MVR - US Dollar Maldivian Rufiyaa,usd-mvr,2166,USD,US Dollar,MVR,Maldivian Rufiyaa
USD/MYR,USD/MYR - US Dollar Malaysian Ringgit,usd-myr,2168,USD,US Dollar,MYR,Malaysian Ringgit
MYR/USD,MYR/USD - Malaysian Ringgit US Dollar,myr-usd,993166,MYR,Malaysian Ringgit,USD,US Dollar
USD/NPR,USD/NPR - US Dollar Nepalese Rupee,usd-npr,2173,USD,US Dollar,NPR,Nepalese Rupee
USD/PHP,USD/PHP - US Dollar Philippine Peso,usd-php,2179,USD,US Dollar,PHP,Philippine Peso
PHP/USD,PHP/USD - Philippine Peso US Dollar,php-usd,1088699,PHP,Philippine Peso,USD,US Dollar
USD/PKR,USD/PKR - US Dollar Pakistani Rupee,usd-pkr,2180,USD,US Dollar,PKR,Pakistani Rupee
USD/TWD,USD/TWD - US Dollar Taiwan Dollar,usd-twd,2206,USD,US Dollar,TWD,Taiwan Dollar
TWD/USD,TWD/USD - Taiwan Dollar US Dollar,twd-usd,10339,TWD,Taiwan Dollar,USD,US Dollar
USD/UZS,USD/UZS - US Dollar Uzbekistani Sum,usd-uzs,2211,USD,US Dollar,UZS,Uzbekistani Sum
USD/VND,USD/VND - US Dollar Vietnamese Dong,usd-vnd,2214,USD,US Dollar,VND,Vietnamese Dong
VND/USD,VND/USD - Vietnamese Dong US Dollar,vnd-usd,1062759,VND,Vietnamese Dong,USD,US Dollar
USD/AZN,USD/AZN - US Dollar Azerbaijani Manat,usd-azn,950996,USD,US Dollar,AZN,Azerbaijani Manat
USD/CNH,USD/CNH - US Dollar Chinese Yuan Offshore,usd-cnh,961728,USD,US Dollar,CNH,Chinese Yuan Offshore
USD/KGS,USD/KGS - US Dollar Kyrgyzstan som,usd-kgs,962660,USD,US Dollar,KGS,Kyrgyzstan som
USD/TJS,USD/TJS - US Dollar Tajikistani somoni,usd-tjs,962663,USD,US Dollar,TJS,Tajikistani somoni
USD/MNT,USD/MNT - US Dollar Mongolian Tugrik,usd-mnt,1141714,USD,US Dollar,MNT,Mongolian Tugrik
USD/CHF,USD/CHF - US Dollar Swiss Franc,usd-chf,4,USD,US Dollar,CHF,Swiss Franc
CHF/USD,CHF/USD - Swiss Franc US Dollar,chf-usd,1560,CHF,Swiss Franc,USD,US Dollar
USD/TRY,USD/TRY - US Dollar Turkish Lira,usd-try,18,USD,US Dollar,TRY,Turkish Lira
