country,name,full_name,symbol,tag,id,issuer,isin,asset_class,underlying
germany,BNP Call 2260.19 China Enterprises,BNP Paribas Arbitrage Issuance B.V. Call 2260.19 HKD Hang Seng China Enterprises 31Dec99,DE342602,bnp-call-2260.19-china-enterprises,1119008,BNP Paribas Issuance BV,NL0000325652,index,Hang Seng CCI
germany,BNP Call 2730 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2730 EUR DAX 31Dec99,DE721791,bnp-call-2730-eur-dax-31dec99,1119010,BNP Paribas Issuance BV,NL0000266906,index,DAX
germany,BNP Call 2457 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2457 EUR DAX 31Dec99,DE721792,bnp-call-2457-eur-dax-31dec99,1119009,BNP Paribas Issuance BV,NL0000266914,index,DAX
germany,ING Call 19.6124 JPY USD/JPY,ING Bank N.V. Call 19.6124 JPY USD/JPY Cross rate 31Dec99,DENG16RA,ing-call-19.6124-jpy-usd-jpy,1119003,Ing Bank NV,DE000NG16RA5,currency,USD/JPY
germany,BNP ZT DAXplus Minimum Variance PR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Minimum Variance US USD Price Return Index 31Dec99,DEAA0KF1,bnp-zt-daxplus-minimum-variance-pr,1119027,BNP Paribas Issuance BV,DE000AA0KF14,index,
italy,SG S&P 500 NR 01Apr21,SG ISSUER ZT S&P 500 NR 01Apr21,LU137663,sg-s-p-500-nr-01apr21,1121128,SG Issuer SA,LU1391376636,index,S&P 500
italy,BNP Zt 13074 Intesa SanPaolo 28Aug2,BNP PARIBAS ISSUANCE Zt 2.179 EUR Intesa SanPaolo SpA 28Aug20,NL303053,bnp-zt-13074-intesa-sanpaolo-28aug2,1120291,BNP Paribas Issuance BV,NL0013030539,equity,Intesa Sanpaolo
italy,Vontobel 5X Short on MIB,Vontobel Financial Products GmbH Fixed Lever 5X Short on MIB,DEVN9AAQ,vontobel-5x-short-on-mib,1121018,Vontobel Financial Products GmbH,DE000VN9AAQ4,index,
italy,BNP Put Eurex DAX Future 15Dec21,BNP PARIBAS ISSUANCE Put Eurex DAX Index Future Continuation 1 15Dec21,NL266642,bnp-put-eurex-dax-future-15dec21,1120602,BNP Paribas Issuance BV,NL0012666424,index,DAX
italy,Vontobel Put VT 5XS DJ 18Dec20,Vontobel Put VT 5XS DJ 18Dec20,DEVN9ABE,vontobel-put-vt-5xs-dj-18dec20,1121101,Vontobel Financial Products GmbH,DE000VN9ABE8,index,
italy,Vontobel Put VT 7XS Coffee 18Dec20,Vontobel Put VT 7XS Coffee 18Dec20,DEVN9AB9,vontobel-put-vt-7xs-coffee-18dec20,1121107,Vontobel Financial Products GmbH,DE000VN9AB93,commodity,
italy,Vontobel Put 2X Short Tesla 16Jun23,Vontobel Financial Products GmbH Put 2X Short Index linked to Tesla Motors Inc. 16Jun23,DEVN9D09,vontobel-put-2x-short-tesla-16jun23,1121083,Vontobel Financial Products GmbH,DE000VN9D095,index,
italy,Vontobel Call VT 3XL FCA 16Jun23,Vontobel Financial Products GmbH Call VT 3XL FCA Index 16Jun23,DEVN9D0E,vontobel-call-vt-3xl-fca-16jun23,1121055,Vontobel Financial Products GmbH,DE000VN9D0E3,index,
italy,Vontobel Call VT 5XL XAG 3 18Dec20,Vontobel Call VT 5XL XAG 3 18Dec20,DEVN9ABQ,vontobel-call-vt-5xl-xag-3-18dec20,1121066,Vontobel Financial Products GmbH,DE000VN9ABQ2,commodity,
italy,Uni Call Italia X 7 Long 15Oct21,UniCredit Bank AG Call Italia X 7 Long Index 15Oct21,DEHV41JE,uni-call-italia-x-7-long-15oct21,1120930,UniCredit Bank AG,DE000HV41JE3,index,
italy,SG Put FTSE MIB Gross TR 5x 26Jun20,SG ISSUER Put FTSE MIB Gross TR 5x Daily Short Strategy RT Index 26Jun20,XS646584,sg-put-ftse-mib-gross-tr-5x-26jun20,1121004,SG Issuer SA,XS1236465842,index,
italy,BNP Call 13500 EUR FTSE MIB 18Dec20,BNP PARIBAS ARBITRAGE ISSUANCE Call 13500 EUR FTSE MIB Index 18Dec20,NL184228,bnp-call-13500-eur-ftse-mib-18dec20,1120470,BNP Paribas Issuance BV,NL0011842281,index,FTSE MIB
italy,Vontobel Call VT 7XL Nasdaq 100,Vontobel Call VT 7XL Nasdaq 100 18Dec20,DEVN9AA5,vontobel-call-vt-7xl-nasdaq-100,1121076,Vontobel Financial Products GmbH,DE000VN9AA52,index,
italy,Vontobel Call VT 7XL EuroStoxx 50,Vontobel Call VT 7XL EuroStoxx 50 18Dec20,DEVN9AAX,vontobel-call-vt-7xl-eurostoxx-50,1121074,Vontobel Financial Products GmbH,DE000VN9AAX0,index,
italy,Vontobel Call VT 7XL DAX 18Dec20,Vontobel Call VT 7XL DAX 18Dec20,DEVN9C34,vontobel-call-vt-7xl-dax-18dec20,1121071,Vontobel Financial Products GmbH,DE000VN9C345,index,
