name,symbol,tag
Old Mutual Global Equity Absolute Return A EUR Hed,0P00013398,old-mutual-global-equity-abs-a-acc
Quality Inversion Conservadora FI,172273007,quality-inversion-conservadora-fi
Julius Baer Multibond   Local Emerging Bond Fund U,0P00000MSY,julius-baer-locemrgngbnd-usd-e
BlackRock Strategic Funds - Fixed Income Strategie,0P0000LZO2,fixed-income-strategies-fund-a2-eur
Quality Inversion Moderada FI,172242002,quality-inversion-moderada-fi
Morgan Stanley Investment Funds - Global Opportuni,0P0000RZ2K,ms-global-opportunity-fund-bh-eur
Deutsche Concept Kaldemorgen LC,0P0000T2ET,deutsche-concept-kaldemorgen-lc
Deutsche Concept Kaldemorgen NC,0P0000T2EV,deutsche-concept-kaldemorgen-nc
Pictet - Robotics HP EUR,0P0001788V,pictet-robotics-hp-eur
Bankia Soy Asi Cauto FI,158976037,bankia-soy-asi-cauto-fi
Sabadell Prudente Plus FI,0P00015Q8Q,sabadell-prudente-plus-fi
Sabadell Prudente Empresa FI,0P00016RCN,sabadell-prudente-empresa-fi
Sabadell Prudente Premier FI,0P00015Q8R,sabadell-prudente-premier-fi
Sabadell Prudente Base FI,111187003,sabadell-prudente-base-fi
Sabadell Prudente Pyme FI,0P00016RCM,sabadell-prudente-pyme-fi
Albus Extra FI,107678015,albus-extra-fi
Albus Platinum FI,107678007,albus-platinum-fi
Caixabank Monetario Rendimiento Premium FI,0P0000V8VG,caixabank-monetario-premium-fi
Caixabank Monetario Rendimiento Plus FI,0P0000V8VF,caixabank-monetario-plus-fi
Caixabank Monetario Rendimiento Esto¡ndar FI,0P0000V8VE,caixabank-monetario-estoindar-fi
Caixabank Monetario Rendimiento Cartera FI,0P0000V8VH,caixabank-monetario-cartera-fi
Caixabank Monetario Rendimiento Platinum FI,0P00000WDT,caixabank-monetario-platinum-fi
Caixabank Monetario Rendimiento Institucional FI,0P0000V8VI,caixabank-monetario-institucionalfi
Caixabank Ahorro Estandar FI,105002002,caixabank-ahorro-estandar-fi
Caixabank Ahorro Premium FI,105002036,caixabank-ahorro-premium-fi
Caixabank Ahorro Institucional FI,0P000160SC,caixabank-ahorro-institucional-fi
Caixabank Ahorro Plus FI,105002010,caixabank-ahorro-plus-fi
Santander Select Moderado A FI,107781017,santander-select-moderado-a-fi
Santander Select Moderado S FI,107781009,santander-select-moderado-s-fi
Caixabank Iter Extra FI,145458008,caixabank-iter-extra-fi
Caixabank Iter Platinum FI,145458016,caixabank-iter-platinum-fi
CABK Equilibrio PP,0P000011YT,cabk-equilibrio-pp
Caixabank Renta Fija Flexible Plus FI,138219037,caixabank-renta-fija-flexible-plus
Caixabank Renta Fija Flexible Estandar FI,138219003,caixabank-renta-fija-flexible-estan
