name,symbol,tag
Caixabank Renta Fija Flexible Platinum FI,0P000148IK,caixabank-renta-fija-flexible-plat
Caixabank Renta Fija Flexible Cartera FI,0P000160T8,caixabank-renta-fija-flexible-cart
Caixabank Renta Fija Flexible Patrimonio FI,138219011,caixabank-renta-fija-flexible-patri
Caixabank Renta Fija Flexible Premium FI,0P000148IL,caixabank-renta-fija-flexible-prem
Vontobel Fund - Emerging Markets Equity H EUR,0P00005VLV,vontobel-em-equity-h-eur
Templeton Asian Growth A acc USD,0P00000B0R,templeton-asian-growth-a-acc-usd
JPMorgan Funds - Europe Equity Plus Fund D Perf Ac,0P000094D4,jp-europe-equity-plus-d-perf-acc
Caixabank Equilibrio Estandar FI,164539001,caixabank-equilibrio-estandar-fi
Caixabank Equilibrio Plus FI,164539035,caixabank-equilibrio-plus-fi
Caixabank Equilibrio Premium FI,164539019,caixabank-equilibrio-premium-fi
Santander Tandem 0-30 FI,155818034,santander-tandem-0-30-fi
Caixabank Crecimiento Estandar FI,164540009,caixabank-crecimiento-estandar-fi
Vanguard Japan Stock Index Fund Investor EUR Accum,0P00001QSE,vanguard-japan-stock-investor-e-acc
Caixabank Crecimiento Plus FI,164540033,caixabank-crecimiento-plus-fi
Vanguard Pacific ex-Japan Stock Index Fund Investo,0P00012I6O,vanguard-pacific-exjp-stock-eur-acc
Santander Select Patrimonio A FI,175835018,santander-select-patrimonio-a-fi
Santander Select Patrimonio S FI,175835000,santander-select-patrimonio-s-fi
Santander Rendimiento C FI,138534039,santander-rendimiento-c-fi
Santander Rendimiento A FI,138534005,santander-rendimiento-a-fi
Santander Rendimiento Cartera FI,0P00016ZNJ,santander-rendimiento-cartera-fi
Santander Rendimiento B FI,138534021,santander-rendimiento-b-fi
Santander Rendimiento S FI,138534047,santander-rendimiento-s-fi
Morgan Stanley Investment Funds - US Growth Fund A,0P00000BN2,ms-us-growth-fund-a-usd
Morgan Stanley Investment Funds - US Growth Fund A,0P00000SGC,ms-us-growth-fund-a
CABK Destino 2022 PP,0P000170QF,cabk-destino-2022-pp
Sabadell Rendimiento Canalizador FI,0P0001774F,sabadell-rendimiento-canalizador-fi
Sabadell Rendimiento Base FI,173829039,sabadell-rendimiento-base-fi
Plancaixa Ambición Global PP,LP77001891,plancaixa-ambicion-global-pp
Sabadell Rendimiento Empresa FI,0P0001774H,sabadell-rendimiento-empresa-fi
Sabadell Rendimiento Cartera FI,0P0001774G,sabadell-rendimiento-cartera-fi
Sabadell Rendimiento Pyme FI,0P0001774K,sabadell-rendimiento-pyme-fi
Sabadell Rendimiento Premier FI,0P0001774J,sabadell-rendimiento-premier-fi
Sabadell Rendimiento Plus FI,0P0001774I,sabadell-rendimiento-plus-fi
Santander Renta Fija Corto Plazo I FI,105931036,santander-renta-fija-corto-plazo-i
Santander Renta Fija Corto Plazo A FI,0P00015KUS,santander-renta-fija-corto-plazo-a
BBVA Multiactivo Conservador PP,0P00000ZZX,bbva-multiactivo-conservador-pp
Amundi Index Solutions - Amundi Index MSCI Emergin,0P00012TNM,amundi-index-msci-em-aec
Candriam Equities L Biotechnology Class C USD Cap,0P00000BOM,candriam-equities-biotech-c-usd-cap
Caixabank Seleccion Tendencias Estandar FI,164853006,caixabank-seleccion-tendencias-esta
Caixabank Seleccion Tendencias Plus FI,164853014,caixabank-seleccion-tendencias-plus
SPB RF Corto Plazo I FI,112793031,spb-rf-corto-plazo-i-fi
SPB RF Corto Plazo A FI,0P00015L1O,spb-rf-corto-plazo-a-fi
Bankia Cauto PP,0P00000WZY,bankia-cauto-pp
Mi Plan Santander Prudente PP,0P0000UI86,mi-plan-santander-prudente-pp
Mi Plan Santander Moderado PP,0P0000UJ6B,mi-plan-santander-moderado-pp
Franklin Biotechnology Discovery Fund A(acc)USD,0P00000SX6,franklin-biotech-discovery-a-acc
Bestinfond FI,114673033,bestinfond-fi
Ibercaja Mixto Flexible 15 A FI,146944006,ibercaja-mixto-flexible-15-a-fi
Ibercaja Mixto Flexible 15 B FI,0P0000Q74L,ibercaja-mixto-flexible-15-b-fi
Ibercaja BP Renta Fija B FI,146791019,ibercaja-bp-renta-fija-b-fi
Ibercaja BP Renta Fija A FI,146791001,ibercaja-bp-renta-fija-a-fi
Bankia Evolucion Prudente FI,0P00000GIY,bankia-evolucion-prudente-fi
Kutxabank RF Carteras FI,125627002,kutxabank-rf-carteras-fi
Cartera Optima Prudente B FI,133578031,cartera-optima-prudente-b-fi
Cartera Optima Prudente A FI,0P000155MZ,cartera-optima-prudente-a-fi
Santander Inversion Corto Plazo FI,145822005,santander-inversion-corto-plazo-fi
Caixabank Bolsa Seleccion Global Estandar FI,138172038,caixabank-bolsa-seleccion-global-es
Caixabank Bolsa Seleccion Global Plus FI,138172004,caixabank-bolsa-seleccion-global-pl
Caixabank Bolsa Seleccion Global Premium FI,138172012,caixabank-bolsa-seleccion-global-pr
BBVA Proteccion 2025 PP,0P00000WD5,bbva-proteccion-2025-pp
Santander Acciones Espaonolas Cartera FI,0P00016ZNL,santander-acciones-espaoolas-cart
Santander Acciones Espaonolas D FI,0P000195PC,santander-acciones-espaoolas-d-fi
BBVA Plan Multiactivo Moderado PP,0P000085O0,bbva-plan-multiactivo-moderado-pp
Santander Acciones Espanolas C FI,138823002,santander-acciones-espanolas-c-fi
Santander Acciones Espanolas B FI,138823010,santander-acciones-espanolas-b-fi
CS Invm Fds 2 - Credit Suisse Lux Global Security ,0P0000YOFZ,cs-global-security-equity-bh-eur
