name,tag
ACS,acs-cons-y-serv
Abengoa,abengoa
Atresmedia,atresmedia
Acerinox,acerinox
BBVA,bbva
Bankinter,bankinter
BME,bolsas-y-mer-esp
Acciona,acciona-sa
Caixabank,caixabank-sa
Enagás,enagas
FCC,fcc
Naturgy Energy,gas-natural-sdg
Siemens Gamesa,gamesa
Grifols,grifols
Ferrovial,grupo-ferrovial
Red Eléctrica,red-electrica
Inditex,inditex
Repsol,repsol-ypf
Iberdrola,iberdrola
Indra,indra-sistemas
Mapfre,mapfre
Telefónica,telefonica
Mediaset,mediaset-esp
Sacyr,sacyr-valle
Banco Sabadell,bco-de-sabadell
Santander,banco-santander
Colonial,inmob-colonial
Técnicas Reunidas,tecnicas-reunidas
OHL,ohl
IAG,intl.-cons.-air-grp?cid=13809
Ebro Foods,ebro-foods
Endesa,endesa
Amadeus,amadeus
Bankia,bankia
DIA,dia
Vértice 360,vertice-trescientos-sesenta-grados
Rovi,laboratorios-farmaceuticos-rovi-sa
GAM,general-de-alquiler-de-maquinaria
Solaria,solaria-energia-y-medio-ambiente
Papeles Y Cartones,europac
Airtificial Intelligence,inypsa-informes-y-proyectos-sa
Alantra Partners,dinamia-capital-privado-scr-sa
Alba SA,corporacion-financiera-alba-sa
Promotora Informaciones,prisa
Meliá Hotels,melia-hotels-international-sa
Empresarial San Jose,grupo-empresarial-san-jose-sa
Nueva Expresion,dogi-international-fabrics-sa
Audax Renovables,fersa-energias-renovables-sa
Miquel y Costas,iquel-y-costas---miquel-sa
Catalana Occidente,grupo-catalana-occidente-sa
Service P.S.,service-point-solutions-sa
ENCE,ence-energia-y-celulosa-sa
Construcciones y Auxiliar,auxiliar-de-ferrocarriles
Urbas,urbas-grupo-financiero-sa
Insur,inmobiliaria-del-sur-sa
Quabit,quabit-inmobiliaria-sa
Lingotes Especiales,lingotes-especiales-sa
Iberpapel,iberpapel-gestion-sa
Bodegas Riojanas,bodegas-riojanas-sa
Adolfo Domínguez,adolfo-dominguez-sa
Realia,realia-business-sa
Nyesa Valores Corp,nyesa-valores-corp
Clínica Baviera,clinica-baviera-sa
Reno De Medici,reno-de-medici-spa?cid=32230
Nicolás Correa,nicolas-correa-sa
Cie Automotive,cie-automotive-sa
Renta 4,renta-4-banco-sa
Reig Jofre,natraceutical-sa
Ezentis,grupo-ezentis-sa
Duro Felguera,duro-felguera-sa
Zardoya,zardoya-otis-sa
Barón de Ley,baron-de-ley-sa
Montebalito,montebalito-sa
Metrovacesa,metrovacesa-sa
NH Hoteles,nh-hoteles-sa
Faes Farma,faes-farma-sa
Tubos Reunidos,tubos-reunid
Pescanova,pescanova-sa
Grifols Pref,grifols-sa-b
Biosearch,biosearch-sa
Viscofan,viscofan-sa
Prosegur,prosegur-sa
Almirall,almirall-sa
Vocento,vocento-sa
Vidrala,vidrala-sa
Empresarial Materiales,uralita-sa
Tubacex,tubacex-sa
Renta Corp.,renta-corp
Fluidra,fluidra-sa
Elecnor,elecnor-sa
Azkoyen,azkoyen-sa
Aperam,aperam?cid=32288
Sniace,sniace-sa
Ercros,ercros-sa
Codere,codere-sa
Bayer,bayer-ag?cid=32295
Natra,natra-sa
Amper,amper-sa
Airbus Group,eads?cid=32302
Prim,prim-sa
Deoleo,deoleo
ArcelorMittal,arcelormittal-reg?cid=32439
Abengoa B,abengoa-b
Liberbank,liberbank-sa
Ebioss Energy,ebioss-energy-ad-sofia
Entrecampos Cuatro,entre-cua-socimi
PETROBRAS PN,petrobras-pn?cid=48594
America Movil,america-movil-l?cid=48595
BRADESPAR ON,bradespar-on-n1?cid=48597
BRADESPAR PN,bradespar-pn-n1?cid=48598
BRASKEM PNA,braskem-pna-n1?cid=48599
COPEL PNB,copel-pnb?cid=48600
ELETROBRAS ON,eletrobras-on?cid=48601
ELETROBRAS PNB,eletrobras-pnb?cid=48602
PETROBRAS ON,petrobras-on?cid=48603
USIMINAS ON,usiminas-on?cid=48604
USIMINAS PNA,usiminas-pna?cid=48605
VALE ON,vale-on-n1?cid=48606
Alfa,alfa-a?cid=48607
Grupo Elektra,elektra?cid=48608
Grupo Financiero Banorte,financiero-banorte?cid=48609
TV Azteca Cpo,tv-azteca-cpo?cid=48611
Frances,frances?cid=48612
CEMIG PN,cemig-pn-n1?cid=48613
BRADESCO PN EJ N1 ,bradesco-pn-n1?cid=48614
GERDAU PN N1,gerdau-pn-n1?cid=48615
Volcan,volcan-cmp-min
1nkemia IUCT SA,1nkemia-iuct-group-s.a.
Ab-Biotics,ab-biotics-s.a.
Altia,altia-consultores-s.a.
ADL Bionatur,bionaturis
Catenon,catenon-s.a.
Euroespes,euroespes-s.a.
Eurona,eurona-wireless-telecom-s.a.
Griñó Ecologic,grino-ecologic-s.a.
Masmovil Ibercom,world-wide-web-ibercom-s.a.
Imaginarium,imaginarium-s.a.
Medcom Tech,medcom-tech-s.a.
Neuron,neuron-bio-s.a.
Secuoya,secuoya-grupo-de-comunicacion-s.a.
Zinkia,zinkia-entertainment-s.a.
eDreams,edreams-odigeo-sa
Lar España,lar-espana-real-estate-socimi-sa
Hispania,hispania-activos-inmobiliarios-sau
Applus,applus-services-sa
Merlin Properties,merlin-properties-sa
