country,name,symbol,tag,id,currency
australia,iShares Core Composite Bond,IAF,ishares-ubs-composite-bond-index,38951,AUD
australia,Vanguard US Total Market Shares,VTS,vanguard-us-tot.-market-shares,47722,AUD
australia,BetaShares Australian Top 20 Equity Yield Maximise,YMAX,betashares-australian-top-20-equity,953165,AUD
australia,Vanguard Global Aggregate Bond Hedged,VBND,vanguard-global-aggr-bond-hedged,1052381,AUD
australia,Vanguard MSCI Int Shares Hedged,VGAD,vanguard-msci-int-shares-hedged,962174,AUD
australia,ANZ ETFS EURO STOXX 50,ESTX,anz-etfs-euro-stoxx-50,1008790,AUD
australia,Russell Australian Government Bond,RGB,russell-aus.-government-bond,38962,AUD
australia,BetaShares S&P 500 Yield Maximiser,UMAX,betashares-sp-500-yield-maximiser,953168,AUD
australia,InvestSMART Ethical Share,INES,investsmart-ethical-share,1138378,AUD
australia,BetaShares FTSE 100,F100,betashares-ftse-100,1142244,AUD
australia,iShares S&P/ASX 20,ILC,ishares-s-p-asx-20,38956,AUD
australia,SPDR MSCI World Quality Mix AU,QMIX,spdr-msci-world-quality-mix-au,962170,AUD
australia,BetaShares Global Robotics and Artificial Intellig,RBTZ,betashares-global-robotics-and-ai,1097716,AUD
australia,Vanguard Diversified Growth,VDGR,vanguard-diversified-growth,1055273,AUD
australia,Vanguard Int Credit Securities,VCF,vanguard-int-credit-securities,962171,AUD
australia,AMP Capital Dynamic Markets,DMKT,amp-capital-dynamic-markets,1031296,AUD
australia,AMP Capital Global Property Securities,RENT,amp-capital-global-property-securit,985879,AUD
australia,iShares S&P/ASX Small Ordinaries,ISO,ishares-s-p-asx-small-ordinaries,47716,AUD
australia,Vanguard FTSE Europe Shares,VEQ,vanguard-ftse-europe-shares,986921,AUD
australia,iShares Asia 50,IAA,ishares-s-p-asia-50-aus,47708,AUD
australia,iShares Edge MSCI World Multifactor,WDMF,ishares-edge-msci-world-multifactor,1094034,AUD
australia,iShares MSCI Japan,IJP,ishares-msci-japan-aus,47704,AUD
australia,iShares Core S&P SmallCap 600,IJR,ishares-s-p-smallcap-600-aus,47697,AUD
australia,iShares Global Healthcare,IXJ,ishares-s-p-global-healthcare?cid=47706,47706,AUD
australia,Vanguard FTSE Asia ex Japan,VAE,vanguard-ftse-asia-ex-japan-shares,986920,AUD
australia,ANZ Physical US Dollar,ZUSD,anz-physical-us-dollar,962160,AUD
australia,ETFS ROBO Global Robotics and Automation,ROBO,etfs-robo-global-robotics-auto,1052292,AUD
australia,SPDR S&P/ASX Australian Government Bond,GOVT,spdr-s-p-asx-aus-government-bond,38950,AUD
australia,eInvest Income Generator,EIGA,einvest-income-generator,1077016,AUD
australia,iShares Core S&P 500,IVV,ishares-s-p-500-aus,47698,AUD
australia,UBS IQ MSCI Australia Ethical,UBA,ubs-iq-msci-australia-ethical,956395,AUD
australia,iSharesUBS Treasury,IGB,ishares-ubs-treasury-index-fund,38953,AUD
australia,Beta Shares S&P/ASX 200Resources Sector,QRE,betashares-s-p-asx-200-resources,38960,AUD
