full_name,id,isin,name,tag
Actividades de Construcción y Servicios S.A.,442,ES0167050915,ACS,acs-cons-y-serv
Abengoa S.A.,443,ES0105200416,Abengoa,abengoa
Atresmedia Corp. de Medios de Com. S.A.,444,ES0109427734,Atresmedia,atresmedia
Acerinox S.A.,445,ES0132105018,Acerinox,acerinox
Banco Bilbao Vizcaya Argentaria S.A.,446,ES0113211835,BBVA,bbva
Bankinter S.A.,447,ES0113679I37,Bankinter,bankinter
Bolsas y Mercados Españoles,448,ES0115056139,BME,bolsas-y-mer-esp
Acciona S.A.,449,ES0125220311,Acciona,acciona-sa
CaixaBank S.A.,452,ES0140609019,CaixaBank,caixabank-sa
Enagás S.A.,453,ES0130960018,Enagás,enagas
Fomento de Construcciones y Contratas S.A.,455,ES0122060314,FCC,fcc
Naturgy Energy Group S.A.,456,ES0116870314,Naturgy Energy,gas-natural-sdg
Siemens Gamesa Renewable Energy S.A.,457,ES0143416115,Siemens Gamesa,gamesa
Grifols S.A.,458,ES0171996087,Grifols,grifols
Ferrovial S.A.,459,ES0118900010,Ferrovial,grupo-ferrovial
Red Eléctrica de España S.A.U,460,ES0173093024,Red Eléctrica,red-electrica
Industria de Diseño y Textil S.A.,461,ES0148396007,Inditex,inditex
Repsol S.A.,462,ES0173516115,Repsol,repsol-ypf
Iberdrola S.A.,463,ES0144580Y14,Iberdrola,iberdrola
Indra Sistemas S.A.,465,ES0118594417,Indra,indra-sistemas
Mapfre S.A.,466,ES0124244E34,Mapfre,mapfre
Telefónica S.A.,469,ES0178430E18,Telefónica,telefonica
Mediaset España Comunicación S.A.,471,ES0152503035,Mediaset,mediaset-esp
Sacyr SA,472,ES0182870214,Sacyr,sacyr-valle
Banco de Sabadell S.A.,473,ES0113860A34,Banco Sabadell,bco-de-sabadell
Banco Santander S.A.,474,ES0113900J37,Santander,banco-santander
Inmobiliaria Colonial S.A.,9060,ES0139140174,Colonial,inmob-colonial
Técnicas Reunidas S.A.,10526,ES0178165017,Técnicas Reunidas,tecnicas-reunidas
Obrascon Huarte Lain SA,13808,ES0142090317,OHL,ohl
International Consolidated Airlines Group SA,13809,ES0177542018,IAG,intl.-cons.-air-grp?cid=13809
Ebro Foods S.A.,13815,ES0112501012,Ebro Foods,ebro-foods
Endesa S.A.,13816,ES0130670112,Endesa,endesa
Amadeus IT Holding S.A.,14615,ES0109067019,Amadeus,amadeus
Bankia S.A.,14616,ES0113307062,Bankia,bankia
Distribuidora Internacional de Alimentación S.A.,18893,ES0126775032,DIA,dia
Vértice Trescientos Sesenta Grados SA,32176,ES0183304312,Vértice 360,vertice-trescientos-sesenta-grados
Laboratorios Farmaceuticos Rovi S.A.,32178,ES0157261019,Rovi,laboratorios-farmaceuticos-rovi-sa
General de Alquiler de Maquinaria SA,32179,ES0141571192,GAM,general-de-alquiler-de-maquinaria
Solaria Energia y Medio Ambiente S.A.,32180,ES0165386014,Solaria,solaria-energia-y-medio-ambiente
Airtificial Intelligence Structures SA,32184,ES0152768612,Airtificial Intelligence,inypsa-informes-y-proyectos-sa
Alantra Partners SA,32185,ES0126501131,Alantra Partners,dinamia-capital-privado-scr-sa
Corporación Financiera Alba S.A.,32186,ES0117160111,Alba SA,corporacion-financiera-alba-sa
Promotora de Informaciones SA,32187,ES0171743901,Promotora Informaciones,prisa
Meliá Hotels International S.A.,32188,ES0176252718,Meliá Hotels,melia-hotels-international-sa
Grupo Empresarial San Jose SA,32189,ES0180918015,Empresarial San Jose,grupo-empresarial-san-jose-sa
Nueva Expresion Textil SA,32190,ES0126962069,Nueva Expresion,dogi-international-fabrics-sa
Audax Renovables SA,32191,ES0136463017,Audax Renovables,fersa-energias-renovables-sa
