asset class,id,isin,issuer,name,symbol,tag
Equity,1010294,ES0172273007,BBVA Asset Management SGIIC,Quality Inversión Conservadora Fi,172273007,quality-inversion-conservadora-fi
Equity,1073639,LU0227385266,Nordea Investment Funds SA,Nordea 1 - Stable Return Fund E Eur,0P00001N5G,nordea-1-stable-return-fund-e-eur
Equity,1073479,IE00BLP5S460,Old Mutual Global Investors (UK) Limited,Merian Global Equity Absolute Return Fund A Eur Hedged Acc,0P00013398,old-mutual-global-equity-abs-a-acc
Bond,1085467,LU0129121025,GAM (Luxembourg) SA,Gam Multibond - Local Emerging Bond Usd E,0P00000MSY,julius-baer-locemrgngbnd-usd-e
Equity,1010291,ES0172242002,BBVA Asset Management SGIIC,Quality Inversión Moderada Fi,172242002,quality-inversion-moderada-fi
Other,1061762,LU0599947198,Deutsche Asset Management S.A.,Dws Concept Kaldemorgen Eur Nc,0P0000T2EV,deutsche-concept-kaldemorgen-nc
Other,1061760,LU0438336264,BlackRock (Luxembourg) SA,Blackrock Strategic Funds - Fixed Income Strategies Fund A2 Eur,0P0000LZO2,fixed-income-strategies-fund-a2-eur
Other,1073646,LU0599946893,DWS Investment S.A.,Dws Concept Kaldemorgen Eur Lc,0P0000T2ET,deutsche-concept-kaldemorgen-lc
Equity,1073183,LU0552385709,Morgan Stanley Investment Management (ACD) Limited,Morgan Stanley Investment Funds - Global Opportunity Fund Bh (eur),0P0000RZ2K,ms-global-opportunity-fund-bh-eur
Equity,1009514,ES0107781017,Santander Asset Management SGIIC,Mi Fondo Santander Moderado A Fi,107781017,santander-select-moderado-a-fi
Equity,1009513,ES0107781009,Santander Asset Management SGIIC,Mi Fondo Santander Moderado S Fi,107781009,santander-select-moderado-s-fi
Bond,1063185,ES0138045002,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Estándar Fi,0P0000V8VE,caixabank-monetario-estoindar-fi
Bond,1063186,ES0138045051,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Institucional Fi,0P0000V8VI,caixabank-monetario-institucionalfi
Bond,1063184,ES0138045044,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Cartera Fi,0P0000V8VH,caixabank-monetario-cartera-fi
Bond,1063187,ES0138045036,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Platinum Fi,0P00000WDT,caixabank-monetario-platinum-fi
Bond,1063188,ES0138045010,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Plus Fi,0P0000V8VF,caixabank-monetario-plus-fi
Bond,1063189,ES0138045028,Caixabank Asset Management SGIIC,Caixabank Monetario Rendimiento Premium Fi,0P0000V8VG,caixabank-monetario-premium-fi
Equity,1073642,LU1279334996,Pictet Asset Management (Europe) SA,Pictet - Robotics Hp Eur,0P0001788V,pictet-robotics-hp-eur
Equity,1010149,ES0158976037,Bankia Fondos SGIIC,Bankia Soy Así Cauto Universal Fi,158976037,bankia-soy-asi-cauto-fi
Bond,1009478,ES0105002010,Caixabank Asset Management SGIIC,Caixabank Ahorro Plus Fi,105002010,caixabank-ahorro-plus-fi
Bond,1009479,ES0105002036,Caixabank Asset Management SGIIC,Caixabank Ahorro Premium Fi,105002036,caixabank-ahorro-premium-fi
Bond,1063162,ES0105002028,Caixabank Asset Management SGIIC,Caixabank Ahorro Institucional Fi,0P000160SC,caixabank-ahorro-institucional-fi
Bond,1009477,ES0105002002,Caixabank Asset Management SGIIC,Caixabank Ahorro Estándar Fi,105002002,caixabank-ahorro-estandar-fi
Equity,1063735,ES0111187037,Sabadell Asset Management SGIIC,Sabadell Prudente Premier Fi,0P00015Q8R,sabadell-prudente-premier-fi
Equity,1063734,ES0111187029,Sabadell Asset Management SGIIC,Sabadell Prudente Plus Fi,0P00015Q8Q,sabadell-prudente-plus-fi
Equity,1063733,ES0111187052,Sabadell Asset Management SGIIC,Sabadell Prudente Empresa Fi,0P00016RCN,sabadell-prudente-empresa-fi
Equity,1009576,ES0111187003,Sabadell Asset Management SGIIC,Sabadell Prudente Base Fi,111187003,sabadell-prudente-base-fi
Equity,1063736,ES0111187045,Sabadell Asset Management SGIIC,Sabadell Prudente Pyme Fi,0P00016RCM,sabadell-prudente-pyme-fi
Equity,1009503,ES0107678007,Caixabank Asset Management SGIIC,Albus Platinum Fi,107678007,albus-platinum-fi
Equity,1009504,ES0107678015,Caixabank Asset Management SGIIC,Albus Extra Fi,107678015,albus-extra-fi
Bond,1063193,ES0138219029,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Platinum Fi,0P000148IK,caixabank-renta-fija-flexible-plat
Bond,1009902,ES0138219011,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Patrimonio Fi,138219011,caixabank-renta-fija-flexible-patri
Bond,1063192,ES0138219052,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Cartera Fi,0P000160T8,caixabank-renta-fija-flexible-cart
Bond,1009903,ES0138219037,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Plus Fi,138219037,caixabank-renta-fija-flexible-plus
