asset class,id,isin,issuer,name,symbol,tag
Bond,1009901,ES0138219003,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Estándar Fi,138219003,caixabank-renta-fija-flexible-estan
Bond,1063194,ES0138219045,Caixabank Asset Management SGIIC,Caixabank Renta Fija Flexible Premium Fi,0P000148IL,caixabank-renta-fija-flexible-prem
Equity,1043265,LU0128522157,Franklin Templeton Investment Funds,Templeton Asian Growth Fund A(acc)usd,0P00000B0R,templeton-asian-growth-a-acc-usd
Equity,1063145,,Vida Caixa Se. y Re.,Cabk Equilibrio Pp,0P000011YT,cabk-equilibrio-pp
Equity,1010029,ES0145458008,Caixabank Asset Management SGIIC,Caixabank Iter Extra Fi,145458008,caixabank-iter-extra-fi
Equity,1010030,ES0145458016,Caixabank Asset Management SGIIC,Caixabank Iter Platinum Fi,145458016,caixabank-iter-platinum-fi
Equity,1075198,IE0007201043,Vanguard Group (Ireland) Limited,Vanguard Pacific Ex-japan Stock Index Fund Investor Eur Accumulation,0P00012I6O,vanguard-pacific-exjp-stock-eur-acc
Equity,1072968,LU0218912235,Vontobel Asset Management S.A.,Vontobel Fund - Emerging Markets Equity H (hedged) Eur,0P00005VLV,vontobel-em-equity-h-eur
Equity,1066563,LU0996177134,Amundi Luxembourg S.A.,Amundi Index Solutions - Amundi Index Msci Emerging Markets Ae-c,0P00012TNM,amundi-index-msci-em-aec
Equity,1010195,ES0164540033,Caixabank Asset Management SGIIC,Caixabank Crecimiento Plus Fi,164540033,caixabank-crecimiento-plus-fi
Equity,1010194,ES0164540009,Caixabank Asset Management SGIIC,Caixabank Crecimiento Estándar Fi,164540009,caixabank-crecimiento-estandar-fi
Equity,1010355,ES0175835000,Santander Asset Management SGIIC,Mi Fondo Santander Patrimonio S Fi,175835000,santander-select-patrimonio-s-fi
Equity,1010356,ES0175835018,Santander Asset Management SGIIC,Mi Fondo Santander Patrimonio A Fi,175835018,santander-select-patrimonio-a-fi
Equity,1073187,LU0073232471,Morgan Stanley Investment Management (ACD) Limited,Morgan Stanley Investment Funds - Us Growth Fund A,0P00000BN2,ms-us-growth-fund-a-usd
Equity,1073186,LU0073232471,Morgan Stanley Investment Management (ACD) Limited,Morgan Stanley Investment Funds - Us Growth Fund A,0P00000SGC,ms-us-growth-fund-a
Equity,1073644,LU0289214628,JPMorgan Asset Management (Europe) S.à r.l.,Jpmorgan Funds - Europe Equity Plus Fund D (perf) (acc) - Eur,0P000094D4,jp-europe-equity-plus-d-perf-acc
Equity,1010191,ES0164539001,Caixabank Asset Management SGIIC,Caixabank Evolución Estándar Fi,164539001,caixabank-equilibrio-estandar-fi
Equity,1010192,ES0164539019,Caixabank Asset Management SGIIC,Caixabank Evolución Premium Fi,164539019,caixabank-equilibrio-premium-fi
Equity,1010193,ES0164539035,Caixabank Asset Management SGIIC,Caixabank Evolución Plus Fi,164539035,caixabank-equilibrio-plus-fi
Bond,1009928,ES0138534047,Santander Asset Management SGIIC,Santander Rendimiento S Fi,138534047,santander-rendimiento-s-fi
Bond,1009927,ES0138534039,Santander Asset Management SGIIC,Santander Rendimiento C Fi,138534039,santander-rendimiento-c-fi
Bond,1009925,ES0138534005,Santander Asset Management SGIIC,Santander Rendimiento A Fi,138534005,santander-rendimiento-a-fi
Bond,1063833,ES0138534054,Santander Asset Management SGIIC,Santander Rendimiento Cartera Fi,0P00016ZNJ,santander-rendimiento-cartera-fi
Bond,1009926,ES0138534021,Santander Asset Management SGIIC,Santander Rendimiento B Fi,138534021,santander-rendimiento-b-fi
Equity,1063139,,Vida Caixa Se. y Re.,Cabk Destino 2022 Pp,0P000170QF,cabk-destino-2022-pp
Equity,1072234,IE0007281425,Vanguard Group (Ireland) Limited,Vanguard Japan Stock Index Fund Investor Eur Accumulation,0P00001QSE,vanguard-japan-stock-investor-e-acc
Equity,1063032,,BBVA Pensiones EGFP,Bbva Multiactivo Conservador Pp,0P00000ZZX,bbva-multiactivo-conservador-pp
Bond,1063739,ES0173829021,Sabadell Asset Management SGIIC,Sabadell Rendimiento Empresa Fi,0P0001774H,sabadell-rendimiento-empresa-fi
Bond,1063741,ES0173829054,Sabadell Asset Management SGIIC,Sabadell Rendimiento Premier Fi,0P0001774J,sabadell-rendimiento-premier-fi
Bond,1063738,ES0173829013,Sabadell Asset Management SGIIC,Sabadell Rendimiento Cartera Fi,0P0001774G,sabadell-rendimiento-cartera-fi
Bond,1063737,ES0173829005,Sabadell Asset Management SGIIC,Sabadell Rendimiento Canalizador Fi,0P0001774F,sabadell-rendimiento-canalizador-fi
Bond,1063742,ES0173829062,Sabadell Asset Management SGIIC,Sabadell Rendimiento Pyme Fi,0P0001774K,sabadell-rendimiento-pyme-fi
Bond,1063740,ES0173829047,Sabadell Asset Management SGIIC,Sabadell Rendimiento Plus Fi,0P0001774I,sabadell-rendimiento-plus-fi
Bond,1010317,ES0173829039,Sabadell Asset Management SGIIC,Sabadell Rendimiento Base Fi,173829039,sabadell-rendimiento-base-fi
Bond,1063835,ES0105931002,Santander Asset Management SGIIC,Santander Renta Fija Corto Plazo A Fi,0P00015KUS,santander-renta-fija-corto-plazo-a
Bond,1009491,ES0105931036,Santander Asset Management SGIIC,Santander Renta Fija Corto Plazo I Fi,105931036,santander-renta-fija-corto-plazo-i
Bond,1009585,ES0112793031,Santander Asset Management SGIIC,Spb Rf Corto Plazo I Fi,112793031,spb-rf-corto-plazo-i-fi
Bond,1063849,ES0112793007,Santander Asset Management SGIIC,Spb Rf Corto Plazo A Fi,0P00015L1O,spb-rf-corto-plazo-a-fi
Equity,1010199,ES0164853006,Caixabank Asset Management SGIIC,Caixabank Selección Tendencias Estándar Fi,164853006,caixabank-seleccion-tendencias-esta
Equity,1010200,ES0164853014,Caixabank Asset Management SGIIC,Caixabank Selección Tendencias Plus Fi,164853014,caixabank-seleccion-tendencias-plus
Equity,1013692,,Vida Caixa Se. y Re.,Cabk Crecimiento Pp,LP77001891,plancaixa-ambicion-global-pp
Equity,1073650,LU0108459040,Candriam Luxembourg,Candriam Equities L Biotechnology Class C Usd Cap,0P00000BOM,candriam-equities-biotech-c-usd-cap
Bond,1010035,ES0145822005,Santander Asset Management SGIIC,Santander Inversión Corto Plazo Fi,145822005,santander-inversion-corto-plazo-fi
Equity,1073649,LU0109394709,Franklin Templeton International Services S.à r.l.,Franklin Biotechnology Discovery Fund A(acc)usd,0P00000SX6,franklin-biotech-discovery-a-acc
Equity,1062934,,Bankia Pensiones EGFP,Bankia Cauto Pp,0P00000WZY,bankia-cauto-pp
Bond,1010042,ES0146791001,Ibercaja Gestión SGIIC,Ibercaja Bp Renta Fija A Fi,146791001,ibercaja-bp-renta-fija-a-fi
Bond,1010043,ES0146791019,Ibercaja Gestión SGIIC,Ibercaja Bp Renta Fija B Fi,146791019,ibercaja-bp-renta-fija-b-fi
Equity,1063522,,Santander Pensiones EGFP,Mi Plan Santander Moderado Pp,0P0000UJ6B,mi-plan-santander-moderado-pp
Equity,1009656,ES0114673033,Bestinver Gestión SGIIC,Bestinfond Fi,114673033,bestinfond-fi
Equity,1063523,,Santander Pensiones EGFP,Mi Plan Santander Prudente Pp,0P0000UI86,mi-plan-santander-prudente-pp
Bond,1009766,ES0125627002,Kutxabank Gestión SGIIC,Kutxabank Rf Carteras Fi,125627002,kutxabank-rf-carteras-fi
Equity,1063047,,BBVA Pensiones EGFP,Bbva Plan Multiactivo Moderado Pp,0P000085O0,bbva-plan-multiactivo-moderado-pp
Equity,1063260,ES0133578007,Allianz Popular Asset Management SGIIC,Cartera óptima Prudente A Fi,0P000155MZ,cartera-optima-prudente-a-fi
Equity,1009824,ES0133578031,Allianz Popular Asset Management SGIIC,Cartera óptima Prudente B Fi,133578031,cartera-optima-prudente-b-fi
Equity,1010050,ES0146944006,Ibercaja Gestión SGIIC,Ibercaja Mixto Flexible 15 A Fi,146944006,ibercaja-mixto-flexible-15-a-fi
Equity,1063400,ES0146944014,Ibercaja Gestión SGIIC,Ibercaja Mixto Flexible 15 B Fi,0P0000Q74L,ibercaja-mixto-flexible-15-b-fi
Other,1062939,ES0158965030,Bankia Fondos SGIIC,Bankia Evolución Prudente Universal Fi,0P00000GIY,bankia-evolucion-prudente-fi
Equity,1063141,,Vida Caixa Se. y Re.,Cabk Destino 2030 Pp,0P000170QH,cabk-destino-2030-pp
Equity,1073182,LU0909472069,Credit Suisse Fund Management S.A.,Cs Invm Fds 2 - Credit Suisse (lux) Global Security Equity Fund Bh Eur,0P0000YOFZ,cs-global-security-equity-bh-eur
Equity,1010156,ES0159084039,Bankia Fondos SGIIC,Bankia Soy Así Flexible Universal Fi,159084039,bankia-soy-asi-flexible-fi
Equity,1009889,ES0138172004,Caixabank Asset Management SGIIC,Caixabank Bolsa Selección Global Plus Fi,138172004,caixabank-bolsa-seleccion-global-pl
Equity,1009890,ES0138172012,Caixabank Asset Management SGIIC,Caixabank Bolsa Selección Global Premium Fi,138172012,caixabank-bolsa-seleccion-global-pr
Equity,1009891,ES0138172038,Caixabank Asset Management SGIIC,Caixabank Bolsa Selección Global Estándar Fi,138172038,caixabank-bolsa-seleccion-global-es
Equity,1062956,,Bankia Pensiones EGFP,Bankia Moderado Pp,0P000013XR,bankia-moderado-pp
Equity,1009653,ES0114638036,Bestinver Gestión SGIIC,Bestinver Internacional Fi,114638036,bestinver-internacional-fi
Bond,1010115,ES0152772036,Renta 4 Gestora SGIIC S.A.,Ing Direct Fondo Naranja Renta Fija Fi,152772036,ing-direct-fondo-naranja-renta-fija
