,name,tag
141,Vitruvio Real Estate,vitruvio-real-estate
142,Greenalia,greenalia
143,Altia,altia
144,Nueva Expresion,nueva-expresion
145,Barón de Ley,baron-de-ley
146,Parques Reunidos,parques-reunidos
147,Banco Popular,banco-popular
148,Adveo Group,adveo-group
149,Iberpapel,iberpapel
150,Bodegas Riojanas,bodegas-riojanas
151,Funespaña,funespana
152,Entrecampos Cuatro,entrecampos-cuatro
153,PETROBRAS PN,petrobras-pn
154,America Movil,america-movil
155,BRADESPAR ON,bradespar-on
156,BRADESPAR PN,bradespar-pn
157,BRASKEM PNA,braskem-pna
158,COPEL PNB,copel-pnb
159,ELETROBRAS ON,eletrobras-on
160,ELETROBRAS PNB,eletrobras-pnb
161,PETROBRAS ON,petrobras-on
162,USIMINAS ON,usiminas-on
163,USIMINAS PNA,usiminas-pna
164,VALE ON,vale-on
165,Alfa,alfa
166,Grupo Elektra,grupo-elektra
167,Grupo Financiero Banorte,grupo-financiero-banorte
168,TV Azteca Cpo,tv-azteca-cpo
169,Frances,frances
170,CEMIG PN,cemig-pn
171,BRADESCO PN EJ N1 ,bradesco-pn-ej-n1-
172,GERDAU PN N1,gerdau-pn-n1
173,Volcan,volcan
174,Ab-Biotics,ab-biotics
175,Euroespes,euroespes
176,Griñó Ecologic,grino-ecologic
177,Neuron,neuron
178,Secuoya,secuoya
179,Zinkia,zinkia
180,Facephi,facephi
181,Cerbium,cerbium
182,Home Meal,home-meal
183,Uro Property Holdings,uro-property-holdings
184,Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
185,Inclam CO2 SA,inclam-co2-sa
186,Trajano Iberia Socimi SA,trajano-iberia-socimi-sa
187,Lleidanetworks Serveis Telematics,lleidanetworks-serveis-telematics
188,Autonomy Spain Real Estate Socimi S,autonomy-spain-real-estate-socimi-s
189,Obsido Socimi SA,obsido-socimi-sa
190,Neol Biosolutions SA,neol-biosolutions-sa
191,Agile Content SA,agile-content-sa
192,Think Smart SA,think-smart-sa
193,Zambal Spain Socimi SA,zambal-spain-socimi-sa
194,Tecnoquark Trust SA,tecnoquark-trust-sa
195,Clerhp Estructuras,clerhp-estructuras
196,Corpfin Capital Prime Retail III,corpfin-capital-prime-retail-iii
197,Jaba I Inversiones,jaba-i-inversiones
198,Corporacion Geo SAB,corporacion-geo-sab
199,Silvercode Investments,silvercode-investments
200,Asturias Retail,asturias-retail
201,Isc Fresh Water,isc-fresh-water
202,Quonia SOCIMI,quonia-socimi
203,GMP Property,gmp-property
204,Optimum Re Spain,optimum-re-spain
205,CommCenter,commcenter
206,ECG,ecg
207,Clever Global,clever-global
208,Pangaea Oncology,pangaea-oncology
209,VBARE Iberian Properties,vbare-iberian-properties
210,Ores Socimi,ores-socimi
211,Optimum III Value Added,optimum-iii-value-added
212,Asturiana de Laminados,asturiana-de-laminados
213,GGC,ggc
214,Numulae Gestion de Servicios,numulae-gestion-de-servicios
215,Borges Agricultural,borges-agricultural
216,AM Locales Property,am-locales-property
217,Grupo Ortiz,grupo-ortiz
218,Domo Activos,domo-activos
219,Student Properties,student-properties
220,Heref Habaneras,heref-habaneras
221,Tempore Properties,tempore-properties
222,Serrano 61 Desarrollo,serrano-61-desarrollo
223,Ap67 Socimi,ap67-socimi
224,Tier1,tier1
225,Torbel Investmentד,torbel-investmentd
226,Quid Pro Quo Alquiler,quid-pro-quo-alquiler
227,Excem Socimi,excem-socimi
228,Castellana Properties,castellana-properties
229,Testa Residencial,testa-residencial
230,Go Madrid Benz,go-madrid-benz
231,Arima Real Estate,arima-real-estate
232,Atom Hoteles,atom-hoteles
