,name,tag
0,Abengoa B,abengoa-b
1,Vértice 360,vertice-360
2,Nyesa Valores Corp,nyesa-valores-corp
3,Santander,santander
4,Duro Felguera,duro-felguera
5,DIA,dia
6,BBVA,bbva
7,Banco Sabadell,banco-sabadell
8,Urbas,urbas
9,Iberdrola,iberdrola
10,Caixabank,caixabank
11,Telefónica,telefonica
12,OHL,ohl
13,Repsol,repsol
14,Abengoa,abengoa
15,Amper,amper
16,Bankia,bankia
17,Mapfre,mapfre
18,Sacyr,sacyr
19,Ezentis,ezentis
20,Liberbank,liberbank
21,Deoleo,deoleo
22,Bankinter,bankinter
23,Mediaset,mediaset
24,IAG,iag
25,Atresmedia,atresmedia
26,Inditex,inditex
27,Airtificial Intelligence,airtificial-intelligence
28,Siemens Gamesa,siemens-gamesa
29,ENCE,ence
30,Acerinox,acerinox
31,Unicaja Banco,unicaja-banco
32,Ferrovial,ferrovial
33,Natra,natra
34,Pharma Mar,pharma-mar
35,Tubos Reunidos,tubos-reunidos
36,Amadeus,amadeus
37,Prosegur Cash,prosegur-cash
38,Merlin Properties,merlin-properties
39,Faes Farma,faes-farma
40,Endesa,endesa
41,Naturgy Energy,naturgy-energy
42,Meliá Hotels,melia-hotels
43,Sniace,sniace
44,Gestamp,gestamp
45,ACS,acs
46,ArcelorMittal,arcelormittal
47,Grifols,grifols
48,Oryzon Genomics SA,oryzon-genomics-sa
49,Berkeley Energy,berkeley-energy
50,Solaria,solaria
51,Enagás,enagas
52,Cie Automotive,cie-automotive
53,Pescanova,pescanova
54,Ercros,ercros
55,Colonial,colonial
56,Técnicas Reunidas,tecnicas-reunidas
57,Realia,realia
58,Red Eléctrica,red-electrica
59,Prosegur,prosegur
60,Audax Renovables,audax-renovables
61,Indra,indra
62,Almirall,almirall
63,Zardoya,zardoya
64,Cellnex Telecom,cellnex-telecom
65,Codere,codere
66,Ebro Foods,ebro-foods
67,Naturhouse,naturhouse
68,Grifols Pref,grifols-pref
69,Applus,applus
70,Global Dominion,global-dominion
71,Papeles Y Cartones,papeles-y-cartones
72,Viscofan,viscofan
73,Quabit,quabit
74,eDreams,edreams
75,Euskaltel SA,euskaltel-sa
76,Talgo,talgo
77,Ebioss Energy,ebioss-energy
78,Biosearch,biosearch
79,NH Hoteles,nh-hoteles
80,Empresarial San Jose,empresarial-san-jose
81,BME,bme
82,Tubacex,tubacex
83,Solarpack Corporacion Tecnologica,solarpack-corporacion-tecnologica
84,FCC,fcc
85,Neinor Homes,neinor-homes
86,Eurona,eurona
87,Acciona,acciona
88,Metrovacesa,metrovacesa
89,GAM,gam
90,Lar España,lar-espana
91,Fluidra,fluidra
92,Logista,logista
93,Service P.S.,service-p.s.
94,Aena,aena
95,Montebalito,montebalito
96,Masmovil Ibercom,masmovil-ibercom
97,Gigas Hosting SA,gigas-hosting-sa
98,PRISA,prisa
99,Renta 4,renta-4
100,Reno De Medici,reno-de-medici
101,Telepizza,telepizza
102,Aedas Homes,aedas-homes
103,Reig Jofre,reig-jofre
104,Alantra Partners,alantra-partners
105,Catenon,catenon
106,Miquel y Costas,miquel-y-costas
107,Alba SA,alba-sa
108,NBI Bearings Europe,nbi-bearings-europe
109,Vocento,vocento
110,Catalana Occidente,catalana-occidente
111,Renta Corp.,renta-corp.
112,Nicolás Correa,nicolas-correa
113,Netex Knowledge,netex-knowledge
114,1nkemia IUCT SA,1nkemia-iuct-sa
115,Construcciones y Auxiliar,construcciones-y-auxiliar
116,Robot,robot
117,Vidrala,vidrala
118,Grenergy Renovables SA,grenergy-renovables-sa
119,Bayer,bayer
120,Insur,insur
121,Empresarial Materiales,empresarial-materiales
122,Elecnor,elecnor
123,Azkoyen,azkoyen
124,Prim,prim
125,Atrys Health,atrys-health
126,Lingotes Especiales,lingotes-especiales
127,Aperam,aperam
128,Alquiber Quality,alquiber-quality
129,Adolfo Domínguez,adolfo-dominguez
130,Hispania,hispania
131,Imaginarium,imaginarium
132,Coca-Cola European,coca-cola-european
133,Medcom Tech,medcom-tech
134,Airbus Group,airbus-group
135,Rovi,rovi
136,Mondo TV,mondo-tv
137,Voztelecom Oigaa360,voztelecom-oigaa360
138,Amrest,amrest
139,ADL Bionatur,adl-bionatur
140,Clínica Baviera,clinica-baviera
